FLT14_all,FLT14_not_GC8,FLT9_all,FLT9_not_GC2,FLT6_all,FLT6_not_GC2,FLT15_all,FLT15_not_GC1,FLT13_all,FLT13_not_GC7,FLT2_all,FLT2_not_GC4,FLT5_all,FLT5_not_GC11,FLT1_all,FLT1_not_GC5,FLT12_not_GC6,FLT7_not_GC2
,,Adh6-ps1,Fabp7,Obox3,H2-DMb2,,,,,Eri1,Gmnn,Slc25a11,Drg2,Sec23ip,Asrgl1,,
,,Jam3,Myzap,Prkcq,Wnt5a,,,,,Dntt,Ccdc77,Syne1,Psme2,Cr1l,Amotl2,,
,,Atp8b4,Tmc7,Vaultrc5,Art4,,,,,Sdad1,Ggh,Lrrc3,Mgll,P2rx4,Rere,,
,,4933407K13Rik,Nat1,Dclk2,Ccdc68,,,,,Tnfrsf21,Lmbr1,Itsn1,Raly,Socs4,Hps5,,
,,B130034C11Rik,4732471J01Rik,Adat2,Bloc1s3,,,,,Nabp1,Gucy1a2,Nfkb1,Pecam1,Ccar1,Smim14,,
,,Zfp991,2810403D21Rik,Bhlhb9,Macrod2,,,,,Rrs1,Pkd2l2,Lrp10,Bcar3,Rab3gap2,Myo1d,,
,,Ifi213,5830417I10Rik,Dusp7,Sox13,,,,,Zfp949,Mllt3,Actn1,Spns2,Ces2g,Creb3l2,,
,,Snora21,2610507I01Rik,Atp8b2,AI429214,,,,,Ggta1,Mmrn2,Rpl36al,Mrpl28,Tmem64,C1galt1c1,,
,,S100a6,Ciart,Rab34,Unc5a,,,,,Jade3,Snupn,Amt,Pskh1,Mrps31,Pex11a,,
,,Srl,Slc18b1,Aifm3,Zc3hav1l,,,,,Cnnm3,Grb10,Apom,Gns,Cfap20,Wdr20,,
,,E130008D07Rik,Gca,H1f1,Filip1,,,,,Me3,Slc9a9,Tmem248,Snrpd3,Ahsa2,Mkrn2,,
,,2900060B14Rik,Vmn1r87,Ltbp2,Znrd2,,,,,Ubap2,1110002L01Rik,Abcd1,Slc25a30,Epb41l2,Klhl42,,
,,Hhat,9430037G07Rik,4931428F04Rik,Zkscan14,,,,,Smim8,Mxd1,Nav2,Ostf1,Khdrbs3,Tollip,,
,,Sytl5,Elmo1,Lgals3,Sgtb,,,,,Fat4,Cnnm2,Ifitm3,Ppfia1,Chmp1b,Phf10,,
,,Mastl,1110046J04Rik,Fam118a,Rhoj,,,,,Tbp,Zfp74,Tmem256,Ttc7,Abhd17c,Prdx4,,
,,Plau,Lama3,Gpsm3,Vav1,,,,,Odf2l,Akap17b,Nedd8,Jmjd8,Ids,Taf12,,
,,Trib2,Cd59b,Zcchc10,Ess2,,,,,Plpp6,Cnksr3,Ulk1,Pex14,Pdik1l,Map3k13,,
,,Acvr2b,Gm4956,Haghl,Ccdc28b,,,,,Chaserr,Arfgap3,Akap1,Tmed9,Cibar1,Ikbkg,,
,,Obi1,H2ac18,Cenpa,H2ac20,,,,,Zfp932,Dffa,Coq5,4833439L19Rik,Ncstn,Slc35a5,,
,,Pbx3,Rpgrip1l,Ccnj,H3c7,,,,,Uggt2,Bbs7,Zcchc24,Vapb,Yod1,Kdm4c,,
,,Fhad1,4933438K21Rik,Accs,Pcgf2,,,,,Clec1a,Slc25a48,Tom1l2,Ctif,Rasgef1b,Nudcd1,,
,,Olfr1247,Gm4841,Rusc1,Chst2,,,,,Rngtt,Mcph1,B4galt5,Hnrnpl,Nptn,Slc35b4,,
,,Mbip,Snora81,Shkbp1,H2bc6,,,,,Banp,Hpse,Litaf,Baiap2,Oxnad1,Zfp410,,
,,Msantd2,Pcdh7,Smyd4,Supt3,,,,,Ttc1,Psg16,Erp29,Mcm10,Pofut1,Polr1f,,
,,Selp,Gm20604,Mrm1,Nob1,,,,,Tmem170,Slc8a1,Tango2,Csk,Enpp3,Ptprc,,
,,Cxcl14,,Coro2b,Rfx2,,,,,Dgka,Zfp994,Ube2m,Hagh,Wdr48,Zfhx3,,
,,Nxpe4,,Septin1,Scarna17,,,,,Hook2,Arhgef2,Fkbp5,Usp10,Bms1,Nars2,,
,,C1s2,,Frat1,Ckb,,,,,Mtf2,Sparcl1,1810055G02Rik,Mpdu1,Memo1,Nlrc5,,
,,Zfp788,,Enoph1,Cystm1,,,,,Inca1,Ccdc66,Pebp1,Arrb1,Zfp397,Lztfl1,,
,,Ccrl2,,Hck,Pkp3,,,,,Lyar,Ppp1r9a,Pdxk,Def8,Malsu1,Tatdn2,,
,,Loxl4,,Fam78a,Ntn3,,,,,Tigar,Sgip1,Nisch,Cndp2,Atp1b3,Mrps9,,
,,Enpp6,,Chrnb2,Bicra,,,,,Fam104a,Primpol,Akt1,Parp1,Snap29,Iars,,
,,Ect2,,Xrcc3,Ccdc191,,,,,1700028E10Rik,Zfp46,Stub1,Prelid3b,Lmo7,Cbfb,,
,,Olig1,,Pianp,Cerk,,,,,Plac8,Tert,H1f4,Ddx23,Tcf4,Crnkl1,,
,,Zfp493,,Elovl7,Psd4,,,,,Zfp942,Hace1,Rpl13,Mybbp1a,Ttc17,Ccdc141,,
,,4933427D14Rik,,Lrrc8b,Ung,,,,,Cyria,Meis1,Sumo3,Denn2b,Micu2,Nfu1,,
,,Olfr1336,,Gipc3,Stk19,,,,,Recql5,Tmco4,Pttg1ip,Arf5,Ubp1,Katnip,,
,,Mis18a,,Tmem38a,1810021B22Rik,,,,,Dolk,Olfr635,Flnb,1700123O20Rik,Lats2,Paf1,,
,,Ecm2,,Ccdc134,Scarf2,,,,,Rabl3,Kctd6,Ndufa10,Mogs,Zfp318,Bpnt1,,
,,Calr3,,Slc26a6,Rnaseh1,,,,,Atad2,Mndal,Cops6,Cdk4,Vps26b,Rnf168,,
,,Sult2a3,,Tmtc1,Upk3b,,,,,Mnat1,Fan1,Aqp11,Rtp3,Rnf216,Arrdc4,,
,,Enah,,Col6a5,Fibin,,,,,Tagln,Adgre4,Capn2,Scyl1,Pafah1b2,Mpdz,,
,,Mcm6,,5033406O09Rik,Srrd,,,,,Top3a,Ccdc84,Gatd3a,Ankrd27,Zdhhc3,Rbpms,,
,,Wdr47,,Dph2,Ttf2,,,,,Rfesd,Entpd7,Slc25a20,Hyou1,Mrpl13,Sgk2,,
,,Epb41l3,,Svep1,Afp,,,,,Eri2,Cln3,Furin,Chid1,Trim24,Zc3h11a,,
,,Anxa3,,Tmsb15l,Rpl12,,,,,Zfp760,Zfp973,Pomp,Mpst,Morc3,Ier3ip1,,
,,Galnt7,,Agbl5,Eci3,,,,,Alg9,Simc1,Ehmt2,Atp5mpl,Pnn,Socs2,,
,,Vmn2r17,,Ncapd2,Ccdc88b,,,,,Fmnl2,Orc2,Spen,Paqr7,Usp3,Plxna2,,
,,B3galt6,,Il33,Tspan15,,,,,Dock2,Egr1,Mrps18b,Egln1,Mpzl2,Per2,,
,,Atl1,,Phc1,Wfdc2,,,,,Cpne1,Dnajc9,Mlx,Tacc1,Rnf43,Unc50,,
,,Vmn1r88,,Rasgrp1,Gnat1,,,,,Foxj3,Tmem65,Atg2a,Timmdc1,Slc20a1,Anapc4,,
,,Zfp108,,Glis3,Borcs5,,,,,Mynn,Terf1,Ccs,Lipc,Ndufab1,Nat2,,
,,Sspn,,Ampd3,1700030K09Rik,,,,,Hacd1,Tyw5,Tmem19,Ccdc91,Mier3,Tdrd7,,
,,2810408I11Rik,,Prim1,Grap,,,,,Tmem230,Erg,Rangap1,Clcn7,Prkdc,Btg1,,
,,Sestd1,,Rap1gap,Cnmd,,,,,Nasp,Sclt1,Lima1,Flad1,Mtf1,Dync1li1,,
,,A330049N07Rik,,Bspry,Svbp,,,,,Plekha2,Arhgap6,Adra1b,Uck1,Elf2,Cyp4a32,,
,,Ccdc15,,Hapln1,Pla2g7,,,,,Urb1,Lsm2,Esyt1,Pemt,Tle1,Ttbk2,,
,,Btg3,,Lck,Slc11a1,,,,,Med30,Snrnp40,Ppp1r3c,Sec61a1,Xrcc6,Ccdc80,,
,,Slc1a5,,Pdgfc,Pias3,,,,,Tmem39a,2410002F23Rik,Gchfr,Mvb12a,Usp1,Abhd17b,,
,,Heph,,Lhx6,Elapor1,,,,,Jun,Irf8,Diaph1,Tmem37,Ubxn8,Fbxo8,,
,,Fam110c,,Rabl2,Chst13,,,,,Klf11,Cops7b,Tnfaip8l1,Clpb,Ddx19b,Fam136a,,
,,Phf11c,,Lrrc51,Klhl8,,,,,Recql,Fundc2,Eif2b5,Abl1,Dpysl2,Ndrg1,,
,,Il2rg,,Armc9,Il22ra1,,,,,Wipf3,Zkscan17,B3gat3,Dtnbp1,Pdzd11,Ube2g1,,
,,C5ar2,,Gm19705,Polr1e,,,,,Ggct,Casp2,Cpn1,Arsg,Atp6v1h,Tmem18,,
,,Dlg4,,Zfp747,Mmp17,,,,,Rnd2,Fosl2,Pex11g,U2af2,Alg11,Atxn1l,,
,,Dcaf12l1,,Col4a4,1700003E16Rik,,,,,Stx18,Pparg,Prelid1,Thnsl2,Tmtc3,Dnajc21,,
,,Poli,,Obsl1,Dynlt2b,,,,,D6Wsu163e,Usp49,Tspan9,Sec16b,Kif16b,Gstt3,,
,,Slc25a53,,Mlph,Cyp26b1,,,,,Ptgs1,Acot9,Sem1,Trafd1,Pum3,Tomm40l,,
,,Tlr7,,Dbndd2,Sertad1,,,,,Qsox2,Pigh,H1f0,Tmem14c,Wtap,Ash2l,,
,,Rnf157,,Cep41,Cyb561d1,,,,,Mid2,Rab31,Abhd16a,Prkaca,Traf6,Heatr5a,,
,,Zfp947,,Rab13,Polr2d,,,,,Adgrv1,Rnaseh2a,Ccdc107,Ilrun,Fkbp15,Pnp,,
,,Tmem159,,Capn6,Dnai4,,,,,Taf6l,Cyp4b1,Arpc3,St6galnac6,Crebrf,Anxa5,,
,,H3c11,,Sema6b,Arl16,,,,,Gt(ROSA)26Sor,Fadd,Higd2a,Cdk18,Mettl4,Wdr5,,
,,Catsper2,,Akr1b8,S100a9,,,,,Nfkbiz,Dck,Wdtc1,Retreg3,Whamm,Mrpl48,,
,,Spon2,,Plagl2,Esrrg,,,,,Gimap8,Vegfb,Anxa11,Grcc10,Rint1,Hars2,,
,,Zfp772,,Ppfia2,Rfc3,,,,,Zc3hc1,Fam98b,Pkn1,Pes1,Zmynd8,Rwdd4a,,
,,Pkia,,Tdp1,Ddx59,,,,,Jund,H2-T24,Slc48a1,Acat2,Sri,Osbpl11,,
,,Olfr1459,,Tmem45b,4933411K16Rik,,,,,Zcchc17,Lsm5,Irf3,Hgs,Tafazzin,Dnajc28,,
,,Gm14057,,Hid1,Cacna1a,,,,,Wdr75,Mrps6,Psmb5,Icmt,Nfatc3,Pld1,,
,,4930481A15Rik,,Snhg4,Gadd45a,,,,,Aptx,Ncoa5,Sdhb,Ppil2,Rfx7,Vps39,,
,,A930007I19Rik,,Ttll1,Tnip2,,,,,Ice2,Tmem192,Tmem208,Il11ra1,Cdk6,Btbd9,,
,,Fam171b,,Acyp2,Cmss1,,,,,Siah1a,Timm9,Nfix,Pcnx3,Cbl,Ilf2,,
,,Ifi205,,Dennd3,Dpysl3,,,,,Snrpd1,Wdr76,Hpn,Spg7,Sec11c,Dennd1a,,
,,Gm7609,,Kcnc3,Brf2,,,,,Drosha,Asb3,Araf,Ndufa9,Dennd6a,Sap130,,
,,8030442B05Rik,,St6galnac3,Rgs4,,,,,Nagk,Zfp97,Mien1,Nsun2,Eny2,Rprd1b,,
,,Rprl3,,Ppp1r18,Chst12,,,,,Dctn6,Cep19,Nomo1,Ahnak,Ddx19a,Thoc1,,
,,H4c18,,Stx1b,2010320M18Rik,,,,,Dock10,Polg2,Lrrc59,Mpnd,Parp4,Tirap,,
,,B4galt4,,Nipa1,Mettl15,,,,,Zfp157,Neurl3,Wrnip1,Ldlrap1,Cetn3,Sik1,,
,,Cd34,,Eid2b,Naif1,,,,,Cebpzos,Jpx,Nrbp1,Trap1,Cln8,Epg5,,
,,Ica1,,Zc3h6,Neu3,,,,,Snrpc,Rad1,Stab1,Ddx39b,Casp7,Marcks,,
,,Rgs2,,Zc2hc1c,Eva1b,,,,,Nemp1,9130023H24Rik,Ap1m1,Kxd1,Akap8,Dnase1l3,,
,,Wdr89,,Ntpcr,Ccl24,,,,,Chchd4,Bbs9,Aars,Arf3,Pcmt1,Chmp5,,
,,F8a,,Stxbp1,Rita1,,,,,Snx24,1600020E01Rik,Acaa1a,Auh,Snrnp48,Eif2b1,,
,,Zfp935,,Ptgds,Syt3,,,,,Pwwp2a,Haus3,Psmb6,Mrpl17,Zbtb43,Cnot9,,
,,Mterf1a,,Eln,Treml4,,,,,Edc3,Polr3gl,Atp13a1,Mtif3,Abhd3,Sox5,,
,,Elf4,,Olfm1,Fam110a,,,,,Rbak,Golm2,Igfals,Ogfr,Ripk1,Bcl2l13,,
,,Mbnl3,,Six5,Kcnj10,,,,,Srd5a3,Hpcal1,Tef,Ube2g2,Cfdp1,Fem1c,,
,,Napepld,,Armc6,Mypop,,,,,Rpp14,Plgrkt,Slc25a22,Iqsec1,Kdm5b,Dnajc2,,
,,Tnik,,Srms,Crip1,,,,,Ifit1,Plekhg1,Avpr1a,Hspb8,Tmem50a,Nmrk1,,
,,Cabyr,,Pde4a,Sox4,,,,,Bzw2,Cd84,Nags,Coq8a,Snx4,Arhgef37,,
,,Airn,,Itpr3,Vtcn1,,,,,Erc2,Zmym6,Dynll2,Bap1,Ecd,Foxred1,,
,,Ccdc8,,Cib2,Pam16,,,,,Grem2,Zbtb10,Pfdn5,Slc8b1,Patl1,Usp53,,
,,Ank2,,Pigl,Cap2,,,,,E2f8,Fbxl14,Fam234b,Pccb,Prex2,Hs2st1,,
,,Klrk1,,Tmem216,Mphosph6,,,,,Abhd10,Fn3k,Eci1,Fam20a,Tent2,Mdfic,,
,,Dapp1,,Ncf1,Cabcoco1,,,,,Exosc1,Tor3a,Plxnb2,Zbtb7b,Smim13,Eif3m,,
,,Gm16675,,Tmcc2,Adgrg1,,,,,Msh2,Mmd2,Atg7,Cct5,Susd6,Dym,,
,,Alox5ap,,Adcy5,Hsbp1l1,,,,,Mfap3,Zfp661,Rplp1,Drap1,Slc16a5,Jcad,,
,,Pttg1,,Il1rn,Casz1,,,,,Slc22a15,Robo4,Iscu,Fbxw8,Ccnl1,Ccnh,,
,,Spic,,Ralgds,Map9,,,,,Nprl3,Exosc8,Rnf114,Os9,Gatad2b,Stradb,,
,,Zfpm2,,Slc13a2,Zfp651,,,,,Rsph3a,Chml,Tab2,Dnpep,Mrps15,Amz2,,
,,Serpina3f,,Stn1,Dnmt3b,,,,,Smarcal1,Cxcl16,1600014C10Rik,Plin3,Slc35a1,Vsig4,,
,,Ccdc30,,Scara3,Gm15401,,,,,Itga8,Mipol1,Pi4ka,Ggact,Hivep1,Coq3,,
,,Ly96,,Galns,Nme4,,,,,Hpf1,Foxj2,Pex16,Otulin,Cdadc1,Brd4,,
,,Map1b,,Zmynd15,Bdnf,,,,,Ntan1,Saa3,Cd81,Mfhas1,Gnpat,Rpf1,,
,,0610043K17Rik,,Myo5a,C5ar1,,,,,Nckap1l,Nbea,Rpl18a,Golga2,Gpr89,Isg20l2,,
,,H2bc14,,Nlgn1,Zfp93,,,,,Trub2,Zswim9,Gdf2,Rab5if,Ttc3,Tent4a,,
,,H2bc11,,Snn,Gins2,,,,,Rpp30,Adgre1,Capzb,Rbm10,Pcf11,Mmaa,,
,,Uty,,Rpa2,Sgce,,,,,Chic1,Polk,Slc35b1,Pde4dip,Thoc2l,Farp2,,
,,Mx1,,Zfp703,Dlec1,,,,,Zfp867,Btnl9,Angptl4,Dlst,Aasdhppt,Pgm3,,
,,Thumpd2,,Tbcc,Fam107a,,,,,Ppil3,Gcnt4,Abca2,Cabin1,Rnf214,Cep120,,
,,Ncapg2,,Trmt12,Zfp13,,,,,Gm16548,Adra1a,Mrpl27,Shroom1,Zbtb18,Dap3,,
,,Ift74,,Cdk20,Ercc8,,,,,Ccdc32,Zfp119a,Hint1,Ssbp3,Timm8a1,Gimap6,,
,,Cip2a,,Abi3,Lrrc20,,,,,Uxs1,Foxq1,Ift20,Pcyt2,Asxl1,Map2k5,,
,,Ino80dos,,P2rx7,Rcan3,,,,,Paqr3,Traf5,Smim20,Amotl1,Casp8,Fnbp4,,
,,Adgb,,Krt7,Thap3,,,,,Zbtb14,Tle3,Dlc1,Depp1,Snrpe,Lpar6,,
,,Ttll8,,Faim,Plscr3,,,,,Gatd1,B4gat1,Maged1,Ppp6r2,Sbds,Ago2,,
,,A230072C01Rik,,Slc16a13,Asb2,,,,,Nrep,Nin,Arfgef2,Manf,Ints4,Sorbs1,,
,,Serpinb6b,,Sh3pxd2b,Olfr1254,,,,,Zfp672,Snhg6,Tm9sf4,Arf1,Nek1,Dhx33,,
,,Gm45351,,Ldb2,Cyfip2,,,,,Srgn,Pip4k2a,Svil,Fam20c,Nt5dc1,Slc23a2,,
,,Arl5c,,Adam15,6330418K02Rik,,,,,Prpf3,Zmat1,Get3,Ubxn6,Birc2,Septin10,,
,,Hectd2,,Nxn,Snord15a,,,,,Dtymk,Akr1b3,Ppm1g,Saraf,Atp6v1c1,Mrpl45,,
,,Klra2,,Card19,Gspt2,,,,,Nol11,Nol9,Ncor2,Col4a2,Ebag9,As3mt,,
,,Letm2,,Arhgef25,Olfr734,,,,,Star,Snapc3,Mrpl20,Slc25a42,Dennd10,Snrnp27,,
,,Pla2g4a,,Pafah1b3,Zfp109,,,,,2310030G06Rik,Fancc,Zc3h18,Sbf1,Ptcd3,Akap10,,
,,Unc13b,,Nphp1,Efcc1,,,,,Tcp11l2,Taf1b,Zfp598,Anapc13,Shoc2,Cox17,,
,,Gpr137b,,Spata24,Susd2,,,,,Arl13b,Oxct1,Dvl1,Hdgf,Pfdn2,Cog6,,
,,4933406I18Rik,,Med18,Ntmt1,,,,,Inpp5d,Zfp605,Nme1,Tmem214,Mis12,Armt1,,
,,Klhdc7b,,Tifab,Id1,,,,,Mettl14,Gcfc2,Eef1g,Nek9,Ankrd46,Zbtb6,,
,,Zfp14,,1110051M20Rik,Bst1,,,,,Abr,Fancm,Rnf144b,Map3k4,Zfhx4,Ralgapa1,,
,,Kif23,,Fkbpl,Nfkbil1,,,,,Nkapd1,Ctla2a,Ggcx,Osgin1,Patj,Higd1a,,
,,Hscb,,Col4a5,Ubb-ps,,,,,Slc25a21,Klhl11,Myo10,Tle5,Ets1,Fig4,,
,,1700109H08Rik,,Prdm11,Art3,,,,,Fhip1b,Pde7b,Zcchc14,Pacsin3,Rtf1,Anapc16,,
,,S100a8,,Tspan3,Unc45b,,,,,Dnajc24,Frg2f1,Ttyh2,Atp6v0a2,Ctcf,Ncbp3,,
,,Kctd12b,,Ndor1,Hic2,,,,,Utp23,Lipt1,Rab11b,Idh3b,C1qbp,Pigg,,
,,Tes,,Mrpl23,Afap1,,,,,Nfxl1,Zfp964,Vav2,Supt4a,Ciao1,Hcn3,,
,,Tbc1d19,,Cln6,Zfp30,,,,,Tex30,Tpd52l1,Dad1,Med12,Idh3a,Tmx2,,
,,B3galt2,,Naf1,Olfr1328,,,,,Cramp1,Gdf10,Eif6,Mrpl38,Sntb2,Tceal8,,
,,Ddit4,,Zg16,Tbxa2r,,,,,Cfap418,Mtmr14,Cdh5,Ehd1,Ccdc82,Pfkfb2,,
,,Hells,,Stoml1,Ephb6,,,,,Tasp1,Spidr,Slc6a12,Creb3,Cadps2,Hmbox1,,
,,Plk4,,Alyref2,Csrnp1,,,,,Slc16a6,Pcgf6,Pum1,Kif1c,Rad54l2,Gnl2,,
,,4933431G14Rik,,Prrx1,Fbxl15,,,,,Tmem164,Gm2026,Rps20,Ethe1,Rbm33,Epc2,,
,,Xirp1,,Corin,Zfta,,,,,Nup54,Ms4a4d,Tm6sf2,Itm2c,Zcchc2,Plekha5,,
,,Itgam,,Lmnb1,Ppp1r13l,,,,,Ifit2,Ddx51,Slc20a2,Fndc4,Frrs1,Eif4enif1,,
,,Gmds,,Csgalnact1,Zfp334,,,,,Acad12,Aste1,Dgcr2,Mrpl41,Dnajc1,Cpsf7,,
,,Snora20,,Kank3,AI467606,,,,,Bend7,Ccdc138,Nucb1,Psenen,Mrps2,4930581F22Rik,,
,,2610037D02Rik,,Fam171a2,Slc39a5,,,,,Trmt10a,Rcn2,Fxyd1,Rps15a,Cpsf3,Nub1,,
,,Zfp182,,Dennd1c,Dnaja4,,,,,Cmc1,Trmt13,Sh3bp5,Rpl36a,Xpo5,Tdrd3,,
,,Cers5,,Thoc6,Slc7a4,,,,,Zfp948,Bco1,Tm9sf1,Capns1,Sec23b,Nbas,,
,,Lpxn,,Pik3r3,Dcdc2a,,,,,Zfp386,Ing3,Stk25,Bscl2,Rasa1,Tspyl1,,
,,Hsd3b5,,Arhgap9,Tle6,,,,,Ubxn2b,Gm15408,A430005L14Rik,Dpy19l1,Rest,Megf9,,
,,Map3k12,,Ccdc159,Ptrhd1,,,,,Eef2kmt,Eml1,Cebpa,Sdf2,Tada2b,Mfsd4b1,,
,,Klhl23,,Dvl2,Znf41-ps,,,,,Zfp931,Tmem80,Ces2a,Rgp1,Lysmd3,Dse,,
,,Ttc41,,Phf13,Abhd14a,,,,,Nop14,Pde1a,Copz1,Tns1,Zfp131,Srsf3,,
,,Fmr1nb,,Tbc1d22b,Ift81,,,,,Scaper,Fgl2,Ndufs2,Nf2,Usp25,Polr3a,,
,,Cyb561,,Klhl33,Rcc1,,,,,Tmem50b,Saal1,Dap,Sec14l4,Nudt21,Hsph1,,
,,Tff3,,Zscan20,Napsa,,,,,Cybc1,Cpm,Bphl,Tomm6,Cavin2,2210016F16Rik,,
,,Gm14322,,Bik,Car5b,,,,,Osgep,Car1,Rnf40,Hras,Ube4b,Nbn,,
,,Rab27b,,Fam43a,Serpina3h,,,,,Fbxo7,Tcp11l1,Eif2d,Ldlr,Gnl3l,Ints7,,
,,C1rb,,Slco3a1,Pamr1,,,,,Pspc1,Vps33b,Arid1a,Fcna,Rai14,Naa25,,
,,Zbtb11os1,,H2bc18,Zfp41,,,,,Pgm2,Cryzl2,Cst3,Ankrd40,4930453N24Rik,Dcun1d3,,
,,Cdh19,,Syt12,Slc26a11,,,,,Mrpl47,Scai,Sidt2,Mau2,Spopl,Scyl3,,
,,Adrb3,,Cdca4,Abitram,,,,,Pla2g12a,Fstl1,Lsr,Aldh16a1,Herpud2,Fez2,,
,,2310015A10Rik,,Klhl6,Zfp608,,,,,Tm2d1,Sugp2,Pecr,Pex6,Rab30,Pcgf5,,
,,Dnase1l1,,Fam122b,,,,,,Dtwd1,Txnrd3,Igf2r,BC024386,Nck1,Hif1an,,
,,Olfr784,,Timd4,,,,,,Utp4,Wdr53,Map4,Dgkd,Eif2a,Sik2,,
,,Pycard,,Fntb,,,,,,Cks2,Mamdc2,Slc17a4,Tmem258,Bach1,Mettl6,,
,,Cdc42ep3,,D130017N08Rik,,,,,,Get1,Ltbp1,Wdr1,Lcn2,Prkce,Clcn4,,
,,H4c1,,Fcgbp,,,,,,Fyn,Il10rb,Gpd1,Arid1b,Ppp3ca,Wdr13,,
,,Olfr1028,,Arhgap39,,,,,,4930556M19Rik,Nfam1,Eif3i,Glmp,Kcnn2,Mycbp,,
,,Naalad2,,Mfsd7a,,,,,,Gemin4,Ociad2,Ppp1ca,Fbh1,Impact,Thada,,
,,Naip5,,Iffo1,,,,,,Qtrt2,Itgal,Rhou,Npr2,Mmgt1,Rbm4b,,
,,P2ry13,,Rccd1,,,,,,Emc9,Igf1r,Elof1,Fam114a1,Kdm3a,Pde4b,,
,,Gm19522,,Slc17a9,,,,,,Ppp2r3c,Clec7a,Dus1l,Marchf8,Ranbp6,Nvl,,
,,Jchain,,Prss53,,,,,,Timp2,Zfp27,Cyhr1,Lrig1,Diablo,Rprd1a,,
,,Bbof1,,Asic1,,,,,,A330023F24Rik,Arl4d,Agpat3,Ndufa12,Pomt2,Ncoa6,,
,,Krt23,,Cav1,,,,,,Slc4a1ap,Zfp930,Maea,Cnpy3,Ttc14,Tek,,
,,Kcnab1,,Csrnp2,,,,,,Car2,Sdhaf4,Zfp592,Chmp1a,Trim37,Nrbf2,,
,,St3gal6,,Gltp,,,,,,Dvl3,Hus1,Abcf2,Tars2,6030458C11Rik,Cops5,,
,,Cd226,,Rimbp2,,,,,,Dnajc30,Gabra3,Gsr,Gm2a,Spryd7,Fam126a,,
,,Tmem14a,,Kif3a,,,,,,Ddx18,Fbxo25,Dnajc11,Desi1,Cog8,Rcor1,,
,,Mospd3,,Zscan25,,,,,,Adck2,Apex2,Gosr2,Myo9b,Msn,Snx5,,
,,Marcksl1-ps4,,Fam122a,,,,,,Zfp395,Gps2,Tpm1,Tmem86b,Hdac2,Dnajb6,,
,,Gpr137b-ps,,Dok1,,,,,,Pigc,Tmem35b,Dele1,Lrrc41,Rbm6,Sav1,,
,,Rnu12,,Ly6d,,,,,,Poglut3,Tspyl4,Pxmp4,Cnpy2,Bmp2k,Cep43,,
,,Abcb1b,,Med26,,,,,,Cep97,Ttc5,Mrpl42,Fbxo31,Ube2w,Ercc5,,
,,Cenpq,,Icam2,,,,,,Nup35,Zfp1,Plxnd1,Tmprss6,Lcor,Kmt5a,,
,,Kdm5d,,Rpusd2,,,,,,Crebzf,Wdfy4,Atg9a,Chd3,Parl,Cep68,,
,,E030030I06Rik,,Bbc3,,,,,,Mylip,Lgals4,Stk40,Pisd,Ctr9,Guf1,,
,,Zfp619,,Frzb,,,,,,Ltv1,Helq,Kif13a,Cisd1,Nop58,Ilf3,,
,,Fbxl21,,Neto1,,,,,,Tarbp1,AW011738,Edem2,Nop10,Nid1,Nhlrc3,,
,,Kbtbd3,,Il1b,,,,,,Ptrh2,Rab10os,Acox2,Neu1,Nr3c2,Ddr2,,
,,Cd274,,2310033P09Rik,,,,,,Zfp422,Proser1,Rhot2,Spint2,Exph5,Oma1,,
,,1190007I07Rik,,Ccdc126,,,,,,Nod1,Itpripl1,Mt1,Pla2g6,Kansl1l,Rin2,,
,,Camk2b,,Ppp2r3d,,,,,,Kifbp,Tubgcp2,Actr1b,Clpp,Khdc4,Rps6ka3,,
,,Pms2,,Map1a,,,,,,Leng1,Lnpk,Vps25,Pxn,Cdc14b,Mpv17l,,
,,Fhit,,Sp3os,,,,,,Yrdc,Trpm2,Aagab,Atp6v1f,Sra1,Phactr2,,
,,B130024G19Rik,,Clip2,,,,,,Lrrc40,Frg1,Mavs,Lman2,G3bp1,Dctn5,,
,,Trmt61b,,Kcna2,,,,,,Esf1,Trim27,Mesd,Glyctk,Enpp1,Ilkap,,
,,Tlnrd1,,B9d2,,,,,,Efnb2,Slc25a40,Cyp8b1,Serf2,Dyrk1a,Atp11a,,
,,Phospho1,,AB124611,,,,,,Tmem106a,4930430F08Rik,Abcc6,Plekhg3,Ifngr1,Homer1,,
,,Pvt1,,Gm9895,,,,,,Hmgn2,Ifit3,Lmf1,Ctsz,Srsf7,Qrich1,,
,,Casp12,,Grhl1,,,,,,Rbm41,1700025G04Rik,Gstt2,Chdh,Rbm28,Mlh3,,
,,Chek2,,Egf,,,,,,Exosc2,Wee1,Glyr1,Ech1,Kdm5a,Tnfrsf1b,,
,,Syce2,,Tmem138,,,,,,Lacc1,Ofd1,Mlxipl,Naa38,Nap1l1,Irf7,,
,,Zfp455,,Ssc4d,,,,,,Dusp19,Oasl2,Ddc,,Nxt2,Pogz,,
,,Zfp446,,Sox18,,,,,,Mob3c,Lyrm4,Irf1,,Rmi1,Foxp1,,
,,Fgf21,,Cdc42ep2,,,,,,Tbx20,Mx2,AU040320,,Sin3a,Ppp1r7,,
,,Foxf1,,Gfod1,,,,,,Prorp,Mcm4,Sil1,,Tank,Oser1,,
,,Rtn1,,Chad,,,,,,Blm,2410004B18Rik,Safb,,Irf2,H2-Q4,,
