module	feature	condition	score	h5_accession	mission	sex	strain	library_selection
GC_cluster_1_DE_enriched	OSD-379_RR8_LVR_GC_ISS-T_YNG_GI4	GC	0.14320281147956848	OSD-379		Female	BALB/cAnNTac	ribo-depletion
GC_cluster_1_DE_enriched	OSD-379_RR8_LVR_GC_ISS-T_YNG_GI5	GC	0.18032433092594147	OSD-379		Female	BALB/cAnNTac	ribo-depletion
GC_cluster_1_DE_enriched	OSD-379_RR8_LVR_GC_ISS-T_YNG_GI6	GC	0.10858721286058426	OSD-379		Female	BALB/cAnNTac	ribo-depletion
GC_cluster_1_DE_enriched	OSD-379_RR8_LVR_GC_ISS-T_YNG_GI7	GC	0.16031593084335327	OSD-379		Female	BALB/cAnNTac	ribo-depletion
GC_cluster_1_DE_enriched	OSD-379_RR8_LVR_GC_ISS-T_YNG_GI8	GC	0.11767962574958801	OSD-379		Female	BALB/cAnNTac	ribo-depletion
GC_cluster_1_DE_enriched	OSD-379_RR8_LVR_GC_ISS-T_YNG_GI9	GC	0.19631795585155487	OSD-379		Female	BALB/cAnNTac	ribo-depletion
GC_cluster_1_DE_enriched	OSD-379_RR8_LVR_GC_LAR_OLD_GL11	GC	0.1544308364391327	OSD-379		Female	BALB/cAnNTac	ribo-depletion
GC_cluster_1_DE_enriched	OSD-379_RR8_LVR_GC_LAR_OLD_GL12	GC	0.10642732679843903	OSD-379		Female	BALB/cAnNTac	ribo-depletion
GC_cluster_1_DE_enriched	OSD-379_RR8_LVR_GC_LAR_OLD_GL15	GC	0.06584609299898148	OSD-379		Female	BALB/cAnNTac	ribo-depletion
GC_cluster_1_DE_enriched	OSD-379_RR8_LVR_GC_LAR_OLD_GL4	GC	0.23312534391880035	OSD-379		Female	BALB/cAnNTac	ribo-depletion
GC_cluster_1_DE_enriched	OSD-379_RR8_LVR_GC_LAR_OLD_GL7	GC	0.12428432703018188	OSD-379		Female	BALB/cAnNTac	ribo-depletion
GC_cluster_1_DE_enriched	OSD-379_RR8_LVR_GC_LAR_OLD_GL8	GC	0.13281096518039703	OSD-379		Female	BALB/cAnNTac	ribo-depletion
GC_cluster_1_DE_enriched	OSD-379_RR8_LVR_GC_LAR_YNG_GL1	GC	0.23007997870445251	OSD-379		Female	BALB/cAnNTac	ribo-depletion
GC_cluster_1_DE_enriched	OSD-379_RR8_LVR_GC_LAR_YNG_GL13	GC	0.14042429625988007	OSD-379		Female	BALB/cAnNTac	ribo-depletion
GC_cluster_1_DE_enriched	OSD-379_RR8_LVR_GC_LAR_YNG_GL14	GC	0.10141577571630478	OSD-379		Female	BALB/cAnNTac	ribo-depletion
GC_cluster_1_DE_enriched	OSD-379_RR8_LVR_GC_LAR_YNG_GL17	GC	0.08864199370145798	OSD-379		Female	BALB/cAnNTac	ribo-depletion
GC_cluster_1_DE_enriched	OSD-379_RR8_LVR_GC_LAR_YNG_GL2	GC	0.1283087134361267	OSD-379		Female	BALB/cAnNTac	ribo-depletion
