FLT_cluster_01,FLT_cluster_02,FLT_cluster_03,FLT_cluster_04,FLT_cluster_05,FLT_cluster_06,FLT_cluster_07,FLT_cluster_08,FLT_cluster_09,FLT_cluster_10,FLT_cluster_11,FLT_cluster_12,FLT_cluster_13,FLT_cluster_14,FLT_cluster_15,GC_cluster_01,GC_cluster_02,GC_cluster_03,GC_cluster_04,GC_cluster_05,GC_cluster_06,GC_cluster_07,GC_cluster_08,GC_cluster_09,GC_cluster_10,GC_cluster_11,GC_cluster_12,GC_cluster_13,GC_cluster_14
Cul4b,Tmem60,Wfdc15b,Ncs1,Bag6,Abhd14a,,,,,,,,,,Ttll10,Slc12a3,Pcif1,Cetn2,,,,,,,,,,
Igsf11,Igf1r,Lgi3,Cdh10,Gna11,Ift81,,,,,,,,,,ENSMUSG00000043087,Bcl11a,Aar2,F830016B08Rik,,,,,,,,,,
Mrpl30,Clec7a,Cadm2,Olfr533,Slc22a18,Chac1,,,,,,,,,,Prmt8,Cdon,Kat14,Tsr3,,,,,,,,,,
Erg28,Zfp27,Rhbdl2,Kif5c,Bst2,Rcc1,,,,,,,,,,Gad1,Pcdhga8,2310011J03Rik,Socs6,,,,,,,,,,
Brd4,Med10,Irs3,Olfr140,Ahsa1,Pcgf1,,,,,,,,,,Mab21l3,Spic,Rbm10,Nipsnap2,,,,,,,,,,
Tmem97,Timm10b,Dnaaf3,Pkmyt1,Cisd1,Zfp771,,,,,,,,,,Matn4,Zfpm2,Psmb10,Mrto4,,,,,,,,,,
Zc3h7a,Arl4d,Alx1,5830416I19Rik,Flna,Elp6,,,,,,,,,,ENSMUSG00000051029,Hap1,Pip5k1c,Rell1,,,,,,,,,,
Atp1b1,Zfp930,Stk32a,5730507C01Rik,Nop10,Pagr1a,,,,,,,,,,Prrt2,Serpina3f,Cabin1,Grk5,,,,,,,,,,
Rpf1,Sdhaf4,ENSMUSG00000094845,Cdh4,Neu1,Napsa,,,,,,,,,,Olfr591,9930014A18Rik,Sel1l3,Prpf31,,,,,,,,,,
Isg20l2,Klhl7,Tff1,Pbk,Spint2,Tyw3,,,,,,,,,,Mnd1-ps,Vmn1r51,Rad50,Nkiras2,,,,,,,,,,
Tent4a,Ppme1,Lyzl4,Kazald1,Pla2g6,Bok,,,,,,,,,,Zdhhc19,Cd320,Ranbp3,Steap2,,,,,,,,,,
Nup50,Hus1,Ifna16,Prx,Ykt6,Tcf7,,,,,,,,,,4930448I06Rik,Slc7a5,Rraga,Cyyr1,,,,,,,,,,
Mmaa,Ppargc1a,Mak,Pip5k1b,Clpp,Car5b,,,,,,,,,,ENSMUSG00000039154,Map1b,Ccdc93,Klhl12,,,,,,,,,,
Slc35g1,Gabra3,Fut7,Lix1,Pxn,Spin4,,,,,,,,,,Eomes,Odad3,Shroom1,Gtdc1,,,,,,,,,,
Cbr4,Fbxo25,Olfr1501,Xpnpep2,Urod,Serpina3h,,,,,,,,,,ENSMUSG00000074109,Olfr1380,Adora1,Xpo4,,,,,,,,,,
Mtif2,Apex2,Fgf8,Apc2,Grb7,Pamr1,,,,,,,,,,ENSMUSG00000118729,Lrp11,Ssbp3,Bmp10,,,,,,,,,,
Cdc27,Gps2,ENSMUSG00000024749,Lekr1,Atp6v1f,Zfp41,,,,,,,,,,Olfr873,Gjc3,Ago1,Tfcp2l1,,,,,,,,,,
Farp2,Tmem35b,Tph1,Arpp21,Gstm6,Slc26a11,,,,,,,,,,Olfr123,Tmem238,Wbp11,Ap4e1,,,,,,,,,,
Pgm3,Wls,Gpr173,Acrv1,Lman2,Abitram,,,,,,,,,,ENSMUSG00000073407,Tex9,Atic,Rgl3,,,,,,,,,,
Sh3bgrl2,Ppp1r21,Olfr1290,Tigd4,Abcg8,Sult2a6,,,,,,,,,,Ier5l,Dmtn,Ctnnbl1,Cdc42se2,,,,,,,,,,
Zfp617,Cplane1,ENSMUSG00000029275,Trim45,Fam168b,Rangrf,,,,,,,,,,Clnk,Mx1,Amotl1,Elp1,,,,,,,,,,
Cep120,Tspyl4,ENSMUSG00000054582,St8sia6,Glyctk,Wnt9b,,,,,,,,,,ENSMUSG00000038094,Hirip3,Taco1,Ciz1,,,,,,,,,,
Dap3,Tusc3,Kel,Smim3,Acacb,Sp2,,,,,,,,,,4930550C14Rik,S100a11,Get4,Serpinb6a,,,,,,,,,,
Gimap6,2510002D24Rik,9030204H09Rik,Tex13b,Serf2,Zfp608,,,,,,,,,,ENSMUSG00000037140,Garnl3,Depp1,E2f6,,,,,,,,,,
Ptdss1,Rcn1,H2ac22,Camkk1,Scarb1,,,,,,,,,,,Olfr878,Cgref1,Ppp6r2,Mideas,,,,,,,,,,
Map2k5,Gpn1,Cacna1b,Olfr164,Plekhg3,,,,,,,,,,,Sim1,Nyx,Zbtb7a,Mfsd6,,,,,,,,,,
Fnbp4,Ttc5,Gpr179,Cetn4,Ctsz,,,,,,,,,,,Igsf1,1700034H15Rik,Pan2,Uba6,,,,,,,,,,
Tom1l1,Zfp1,Olfr1428,Nfe2,Chdh,,,,,,,,,,,Pramel34,Thumpd2,Zfpm1,Fastkd1,,,,,,,,,,
Dcaf1,Bcap29,Xrra1,Ubxn11,Ddt,,,,,,,,,,,Ankmy1,Phtf1os,Mov10,Ccng2,,,,,,,,,,
Lpar6,Zcchc8,Adra2a,Cracr2b,Ech1,,,,,,,,,,,Pdcd1lg2,Zkscan2,Wdr24,Cnot4,,,,,,,,,,
Ago2,Wdfy4,Dnah1,4930455C13Rik,Naa38,,,,,,,,,,,Pnma2,Cip2a,Dock9,Gtpbp8,,,,,,,,,,
Atxn10,Zbed4,ENSMUSG00000006313,Eid2,Ndufa13,,,,,,,,,,,Zmynd10,Htra1,Tom1,Gmcl1,,,,,,,,,,
Sorbs1,Zscan21,ENSMUSG00000053367,Nlgn3,Gcat,,,,,,,,,,,Asb14,Lmln,Cops8,Cd44,,,,,,,,,,
Rdh10,2610044O15Rik8,ENSMUSG00000024798,4933401D09Rik,,,,,,,,,,,,ENSMUSG00000027748,Hk3,Fam20c,Hnrnph3,,,,,,,,,,
Smcr8,Lgals4,Dpysl4,Gm4710,,,,,,,,,,,,Lpar5,Itgb7,Ubxn6,Ppp1r12b,,,,,,,,,,
Dhx33,Helq,Avil,Mirt1,,,,,,,,,,,,ENSMUSG00000087038,Serpinb6b,Taf15,Zfp317,,,,,,,,,,
Slc23a2,Akirin2,ENSMUSG00000116031,Dusp2,,,,,,,,,,,,Alms1-ps2,Lhx2,Col4a2,Zfp53,,,,,,,,,,
Septin10,AW011738,Sele,Olfr536,,,,,,,,,,,,Casq2,Fam167a,Mid1ip1,Fer,,,,,,,,,,
Dock4,Camkk2,Htr1d,Vmn1r172,,,,,,,,,,,,ENSMUSG00000062252,Cd83,Slc25a42,Atmin,,,,,,,,,,
Mrpl45,Rab10os,C230035I16Rik,Zic1,,,,,,,,,,,,ENSMUSG00000102887,Gm45351,Mgmt,Usp21,,,,,,,,,,
As3mt,Asb1,Olfr698,Iho1,,,,,,,,,,,,Lrrc69,Dtx2,Nelfe,Glrx2,,,,,,,,,,
Bola3,Proser1,ENSMUSG00000100459,Itgb6,,,,,,,,,,,,Slc6a18,Nfe2l3,Tapbpl,Prmt7,,,,,,,,,,
Snrnp27,Itpripl1,Tubal3,Tgfb2,,,,,,,,,,,,Apol7d,Arl5c,Chfr,Rabgef1,,,,,,,,,,
Akap10,Tubgcp2,ENSMUSG00000095765,Pcdhb8,,,,,,,,,,,,ENSMUSG00000071073,Ust,Smagp,Cep104,,,,,,,,,,
Cox17,Serpinb9,H3c8,Olfr457,,,,,,,,,,,,Gp5,Gm16386,Sbf1,Stk3,,,,,,,,,,
Vps29,Lnpk,Izumo1,Vmn1r175,,,,,,,,,,,,Meox2,Xcr1,Anapc13,Tmem220,,,,,,,,,,
Pcmtd2,Mtrfr,Cacna1h,Hemgn,,,,,,,,,,,,Kcnn3,Klra2,Zfp629,Sh3bp5l,,,,,,,,,,
Cog6,Trpm2,ENSMUSG00000053121,Nek11,,,,,,,,,,,,Serpinb7,Sybu,Phlda1,Proser2,,,,,,,,,,
St7l,Meak7,ENSMUSG00000066031,Ido1,,,,,,,,,,,,Tmprss9,Gm9958,Tmem214,Slc30a6,,,,,,,,,,
Armt1,Frg1,Vil1,Gm11747,,,,,,,,,,,,ENSMUSG00000062046,1500011B03Rik,Aifm2,Gripap1,,,,,,,,,,
Zbtb6,Naip2,P2rx1,Vwa7,,,,,,,,,,,,ENSMUSG00000087648,Cdkl3,Slc17a1,Nkap,,,,,,,,,,
Ckap5,Abi3bp,ENSMUSG00000033316,Asphd1,,,,,,,,,,,,ENSMUSG00000031495,Letm2,Sun1,Surf2,,,,,,,,,,
Emg1,Prmt5,Rnft2,Cxcr5,,,,,,,,,,,,Ano5,Cdkn2d,Bach2,Tuba1a,,,,,,,,,,
Chn2,Cep63,ENSMUSG00000059887,1700042O10Rik,,,,,,,,,,,,AF357399,Bcas3os1,Uqcc3,Zkscan7,,,,,,,,,,
Ublcp1,Lage3,Gm13582,Lca5,,,,,,,,,,,,ENSMUSG00000046748,4930565N06Rik,Map3k4,Arl14ep,,,,,,,,,,
Cdc123,Trim27,Mir1955,1700102H20Rik,,,,,,,,,,,,Trim66,Slc22a4,Znrf3,Amot,,,,,,,,,,
Cops3,Slc25a40,ENSMUSG00000100860,Vmn2r14,,,,,,,,,,,,Olfr390,9130221H12Rik,Pkp2,Zbtb40,,,,,,,,,,
Ralgapa1,Ifi44,ENSMUSG00000075210,Osbpl6,,,,,,,,,,,,Shisa6,Cplx2,Foxk1,Mzt1,,,,,,,,,,
Mtmr6,4930430F08Rik,Spatc1l,Espn,,,,,,,,,,,,Krt222,Zfp956,Pqbp1,Elmod2,,,,,,,,,,
Glce,Jam2,Klra3,Olfr729,,,,,,,,,,,,Rhox4c,Zfp692,Bola2,Hnrnpd,,,,,,,,,,
Higd1a,Ing1,Gabrp,Rab38,,,,,,,,,,,,Actn3,Gm11992,Dazap1,Rdh13,,,,,,,,,,
Gid4,Srek1ip1,ENSMUSG00000022296,Shcbp1l,,,,,,,,,,,,Car9,Tbc1d25,Pdgfra,Rbbp8,,,,,,,,,,
Fig4,Ifit3,C1qtnf4,Tmem179,,,,,,,,,,,,ENSMUSG00000044205,Dzank1,Commd9,Ggps1,,,,,,,,,,
Ube2f,2310022B05Rik,B4galnt2,Dbpht2,,,,,,,,,,,,Rbm46os,Vmn1r168,Ap4b1,Eef1aknmt,,,,,,,,,,
Anapc16,1700025G04Rik,ENSMUSG00000058046,Psmb11,,,,,,,,,,,,Olfr961,1700113A16Rik,Ets2,Zfyve19,,,,,,,,,,
Septin2,Wee1,ENSMUSG00000047203,Car7,,,,,,,,,,,,1700028J19Rik,Gpc6,Rbbp5,Ric8b,,,,,,,,,,
Serinc5,Ofd1,ENSMUSG00000090894,Olfr740,,,,,,,,,,,,Acsbg1,4933406I18Rik,Slc38a7,Lhfp,,,,,,,,,,
Fam168a,Plpp1,ENSMUSG00000071185,Galnt3,,,,,,,,,,,,Olfr1161,Dzip1l,Add3,Cdk17,,,,,,,,,,
Pole4,Itgb3,Vmn2r121,Adamts4,,,,,,,,,,,,ENSMUSG00000060583,Numbl,Pacsin3,Nt5dc3,,,,,,,,,,
Fbxw11,Cinp,Lypd6,Tmem132d,,,,,,,,,,,,Adamts16,Fam180a,Erf,Acvr1,,,,,,,,,,
Tial1,Rfx5,ENSMUSG00000047911,Stard6,,,,,,,,,,,,Nsg2,Mkln1os,Zfp746,Ralb,,,,,,,,,,
Ncbp3,Mycl,Kcnd3,Pcdhb20,,,,,,,,,,,,Coch,Tlr1,Rbm22,Rnd3,,,,,,,,,,
Trim33,Oasl2,Mro,Olfr824,,,,,,,,,,,,4921515E04Rik,Zfp14,Stx2,Phf12,,,,,,,,,,
Cd55,Slc44a2,Chrnd,Psrc1,,,,,,,,,,,,Cd101,Kif23,Nek4,Cox10,,,,,,,,,,
Pigg,Zfp958,ENSMUSG00000042604,Vmn2r27,,,,,,,,,,,,4932438H23Rik,Mms22l,Pik3c3,Kti12,,,,,,,,,,
Mrtfb,Mrpl19,ENSMUSG00000047085,Teddm1b,,,,,,,,,,,,ENSMUSG00000018698,C2cd4c,Ralbp1,Smo,,,,,,,,,,
Rrn3,Dbr1,ENSMUSG00000047686,Pate9,,,,,,,,,,,,ENSMUSG00000045521,Tmem39b,Ftsj1,Snx6,,,,,,,,,,
Fdx1,Lyrm4,Mboat4,Ranbp17,,,,,,,,,,,,Trank1,Jrk,Bnip1,Leo1,,,,,,,,,,
Zkscan3,Itih5,Mup4,Kcnq1,,,,,,,,,,,,Tslp,1700109H08Rik,Med12,Gpsm2,,,,,,,,,,
Hcn3,Mx2,Olfr430,Unc13d,,,,,,,,,,,,Ms4a2,Slc16a11,Rbms2,Nt5c3,,,,,,,,,,
Dusp16,Zbtb24,ENSMUSG00000063374,Gcsam,,,,,,,,,,,,Bfsp1,S100a8,Mrpl38,Ippk,,,,,,,,,,
Sec11a,Pigm,Olfr224,Edn1,,,,,,,,,,,,ENSMUSG00000043066,Rpgrip1,Glb1,Hivep2,,,,,,,,,,
Tmem70,Ankrd12,Cacna2d2,1700025N23Rik,,,,,,,,,,,,2010308F09Rik,Ogg1,Ehd1,Irak4,,,,,,,,,,
Tmx2,Casc3,4930583K01Rik,Lilra6,,,,,,,,,,,,1700057G04Rik,Slfn4,C1qa,Dleu2,,,,,,,,,,
Mpv17,Pgam5,Slain1,Prdm16,,,,,,,,,,,,Olfr30,Paqr4,Map3k1,Kat8,,,,,,,,,,
Fgfr1op2,Tanc2,Klhl1,Vmn1r185,,,,,,,,,,,,Cyp2ab1,Tes,Vwce,Birc3,,,,,,,,,,
Tceal8,Ccdc43,Tram1l1,Pp2d1,,,,,,,,,,,,ENSMUSG00000056370,Skint8,Babam2,Trim21,,,,,,,,,,
Txndc12,Cdyl,Gal3st3,Dcx,,,,,,,,,,,,Olfr703,Eif5a2,Creb3,Ednrb,,,,,,,,,,
Ubn2,Commd7,ENSMUSG00000100553,1700010I02Rik,,,,,,,,,,,,Nrg2,Kifc2,Polr2j,Xrcc4,,,,,,,,,,
Pfkfb2,Mrps36,Olfr576,Ccr1,,,,,,,,,,,,Alox15,Hells,Pik3r4,Rbm18,,,,,,,,,,
1700066M21Rik,Mcm4,Nrcam,Kcnk3,,,,,,,,,,,,Olfr129,Plk4,Gpkow,Mphosph10,,,,,,,,,,
Msantd4,Camk2g,Ttll9,Tgm4,,,,,,,,,,,,Cnksr1,Itgam,Cables2,Efemp1,,,,,,,,,,
Rap2c,Mpp7,Tdrd12,Cyp2j13,,,,,,,,,,,,Ppil6,Gmds,Ethe1,Fam53b,,,,,,,,,,
Zfp655,2410004B18Rik,ENSMUSG00000063777,Capn12,,,,,,,,,,,,Lrrc17,Olfr695,Itm2c,Phykpl,,,,,,,,,,
Ube2n,Pvr,Mmp24,Cst6,,,,,,,,,,,,Gm5741,Il5ra,Fzd8,Blvra,,,,,,,,,,
Trmt2b,Jarid2,Bcl2l14,Lpcat4,,,,,,,,,,,,Snord91a,Trpv2,Fndc4,Reps1,,,,,,,,,,
Tcf12,Mars2,ENSMUSG00000093920,4930590J08Rik,,,,,,,,,,,,Depdc1b,Snora20,Wdr74,Adamts1,,,,,,,,,,
Bloc1s5,Ankzf1,4930524O05Rik,Trpm1,,,,,,,,,,,,Nupl1,4930511M06Rik,Clk3,Taf8,,,,,,,,,,
Tmem167b,Mr1,Skint7,2810471M01Rik,,,,,,,,,,,,Dmrt2,Lpxn,Mrpl41,Pold3,,,,,,,,,,
Hmbox1,Imp3,Syt2,Olfr145,,,,,,,,,,,,Olfr808,Cntn1,Psenen,Smg8,,,,,,,,,,
Tent4b,Phtf2,ENSMUSG00000079628,Fam13c,,,,,,,,,,,,Tex15,Hk2,Polr1c,Zfp330,,,,,,,,,,
Cnot2,Eef1akmt1,Rnase10,Il17re,,,,,,,,,,,,ENSMUSG00000038044,Rasip1,Prkcz,Bin3,,,,,,,,,,
Spp1,Gtf2h2,ENSMUSG00000094878,Ebf4,,,,,,,,,,,,Oxt,Pitpnm2os1,Capns1,Aig1,,,,,,,,,,
Krit1,Tpgs2,Gm12886,Gm5535,,,,,,,,,,,,Nwd1,1700096K18Rik,S100a16,Cdk5rap2,,,,,,,,,,
Gnl2,Alg6,Serpina3j,Oaz3,,,,,,,,,,,,Rnf148,Tmppe,Bscl2,Ctbs,,,,,,,,,,
Epc2,Prkn,Tssk4,Mrap2,,,,,,,,,,,,ENSMUSG00000044933,Klhl23,Dnajc8,Eid1,,,,,,,,,,
Plekha5,Ctnnal1,Slc22a8,Lrrc74b,,,,,,,,,,,,Fam163a,Ttc41,Pml,Nfya,,,,,,,,,,
Eif4enif1,Sike1,Btbd16,Abhd12b,,,,,,,,,,,,Prr33,Nthl1,Las1l,Pyroxd1,,,,,,,,,,
Cpsf7,Nup85,Il4,A230001M10Rik,,,,,,,,,,,,7420700N18Rik,2610306M01Rik,Tcta,Rmnd5b,,,,,,,,,,
Ppp1r2,Trmt5,Zmat4,Atp4a,,,,,,,,,,,,Ostn,Ahrr,Tstd2,Cpeb3,,,,,,,,,,
Mbd2,Slc10a7,Wnt16,Scin,,,,,,,,,,,,Zim3,Gm4890,Ermard,Prpf39,,,,,,,,,,
Wdr61,Fyb,Rab39b,Olfr418,,,,,,,,,,,,Gm14858,Acvrl1,Sdf2,Cd300lg,,,,,,,,,,
4930581F22Rik,Bmp2,Ccr10,Rims2,,,,,,,,,,,,ENSMUSG00000084843,Nr4a1,Rbp1,Zfp943,,,,,,,,,,
Bmi1,Utp14b,5430421F17Rik,Tmem196,,,,,,,,,,,,ENSMUSG00000022479,Fpr2,Ston2,Btbd3,,,,,,,,,,
Nub1,Plcb4,Tmem117,Clec4b1,,,,,,,,,,,,ENSMUSG00000045509,Ticam2,Rgp1,St7,,,,,,,,,,
Timm17a,Rab23,ENSMUSG00000027720,Dnd1,,,,,,,,,,,,Asic2,2610203C22Rik,Aen,Tmem209,,,,,,,,,,
Tdrd3,Nubpl,ENSMUSG00000073293,Astn1,,,,,,,,,,,,Adamts8,Zfp872,Ercc3,Bbip1,,,,,,,,,,
Nbas,E2f5,1700028D13Rik,Chodl,,,,,,,,,,,,H2ac8,Rap2b,BC005624,Dtd1,,,,,,,,,,
Tspyl1,Smyd1,Efcab5,Nrarp,,,,,,,,,,,,ENSMUSG00000054161,Cyb561,Snx7,Dsg1c,,,,,,,,,,
Megf9,Zfp974,ENSMUSG00000038560,Vmn1r39,,,,,,,,,,,,Nlrp9b,Dok2,Ppp2cb,Zfp518a,,,,,,,,,,
Mfsd4b1,Aph1b,Olfr1389,Flacc1,,,,,,,,,,,,ENSMUSG00000057899,Cdh6,Htatsf1,Josd2,,,,,,,,,,
Dse,Thap6,Chrng,D5Ertd605e,,,,,,,,,,,,Rnase1,Ccdc148,Ift52,Nudt1,,,,,,,,,,
Nudt19,Fmn1,Fndc8,Tbx18,,,,,,,,,,,,Olfr273,Chrna5,Golga5,Gins4,,,,,,,,,,
Srsf3,2700097O09Rik,Cxcl17,Lrfn1,,,,,,,,,,,,Potefam3a,Btla,Nf2,Akap12,,,,,,,,,,
Parg,Enc1,Olfr307,AU022754,,,,,,,,,,,,Mapk13,Comtd1,Cnppd1,Slc43a1,,,,,,,,,,
Zbtb38,Stk17b,ENSMUSG00000012777,Hk1os,,,,,,,,,,,,Iqub,Gm14322,Mrpl52,Zfp398,,,,,,,,,,
Ube2i,Bcl6,ENSMUSG00000023473,Ccdc116,,,,,,,,,,,,Amhr2,Pole,Tomm6,Zdhhc17,,,,,,,,,,
Polr3a,Ntn4,Nhlrc4,Frs3,,,,,,,,,,,,ENSMUSG00000068617,Rab27b,Nudt3,Btrc,,,,,,,,,,
Sf3b6,Igfbp5,ENSMUSG00000063430,Lefty1,,,,,,,,,,,,Xirp2,Tagap,Hras,Tle4,,,,,,,,,,
Hsph1,Per3,Neurod2,Grin1,,,,,,,,,,,,4833419F23Rik,Rps6ka2,Fcna,Abcd4,,,,,,,,,,
Dhx40,Ino80e,Mir875,Trim67,,,,,,,,,,,,ENSMUSG00000060335,Palb2,Hdhd5,Scoc,,,,,,,,,,
2210016F16Rik,Ybey,Trim46,Olfr780,,,,,,,,,,,,Olfr427,Zgrf1,Rras2,Fam172a,,,,,,,,,,
Nbn,Il16,Gm10549,Tmem88,,,,,,,,,,,,Ap1m2,A230056P14Rik,Mef2d,1700001L05Rik,,,,,,,,,,
Ints7,Yars2,ENSMUSG00000086191,AU040972,,,,,,,,,,,,Gm19782,Mdm1,Itga5,Cdkal1,,,,,,,,,,
Naa25,Lrp12,Ccl8,Arhgap27,,,,,,,,,,,,Slc7a3,Rnf122,Plxna1,Dguok,,,,,,,,,,
Rprd2,Utp15,Olfr918,Cnnm1,,,,,,,,,,,,ENSMUSG00000118216,Zbtb11os1,Plod3,Lrig3,,,,,,,,,,
Dcun1d3,Meis2,9830107B12Rik,Cd209a,,,,,,,,,,,,Akr1c18,Pcdhb17,Fbl,Hspa14,,,,,,,,,,
Cln5,Syk,Olfr308,Gnat2,,,,,,,,,,,,Platr21,Olfr414,Mau2,Fn3krp,,,,,,,,,,
Trnt1,Smpd4,Slc6a7,Podxl2,,,,,,,,,,,,Csn1s2b,Cdh19,Tgfbr3,Mrpl36,,,,,,,,,,
Scyl3,Gab2,Lenep,Hey1,,,,,,,,,,,,ENSMUSG00000058740,Orai2,Mllt6,Srsf9,,,,,,,,,,
Tnks,Spry1,Gm13547,Olfr1467,,,,,,,,,,,,ENSMUSG00000042532,Msh4,Pnkp,Mrps10,,,,,,,,,,
Msl1,Adamts9,Piwil1,Lrmda,,,,,,,,,,,,Gm4926,Adrb3,Nom1,Smug1,,,,,,,,,,
Fez2,Flvcr2,A330041J22Rik,Tmem139,,,,,,,,,,,,Gpc5,Olfr784,Akt1s1,Senp7,,,,,,,,,,
Cd99l2,Leprotl1,1700110C19Rik,Hspa1l,,,,,,,,,,,,1700001K23Rik,Col9a3,Exosc10,Bivm,,,,,,,,,,
Mettl9,Zfp512,ENSMUSG00000086236,Sap25,,,,,,,,,,,,Mypn,Ano1,Aldh16a1,Mrpl55,,,,,,,,,,
Pcgf5,BC024978,ENSMUSG00000030000,1700026D11Rik,,,,,,,,,,,,ENSMUSG00000115016,C330024D21Rik,Pex6,Polb,,,,,,,,,,
Tmem87b,Kctd2,Frem3,Gm9962,,,,,,,,,,,,Srcin1,Gpr135,Ttc4,Klf7,,,,,,,,,,
Il15ra,Zcchc9,Olfr1477,Cldn8,,,,,,,,,,,,Cabp5,Ccn4,Tmem184b,Zfp955a,,,,,,,,,,
Hif1an,Lin52,Arhgap27os3,Hoxaas3,,,,,,,,,,,,Lypd6b,Ptger4,Tinagl1,Zfp65,,,,,,,,,,
BC031181,Ddx39a,Olfr658,Ctsw,,,,,,,,,,,,Stoml3,Selenom,Otud5,Zfp874b,,,,,,,,,,
Sik2,Lemd3,Six3,Ankle1,,,,,,,,,,,,Ezhip,Olfr552,Mrpl4,Exosc3,,,,,,,,,,
Slc30a7,D030056L22Rik,ENSMUSG00000050966,Cd200r3,,,,,,,,,,,,Gm20554,Cd200,Dgkd,Mysm1,,,,,,,,,,
Usp22,Gtf2h3,Olfr71,Sirpb1a,,,,,,,,,,,,ENSMUSG00000099655,Gm5148,Tmem258,Lrrc57,,,,,,,,,,
Uhrf2,Irf2bpl,Gm20757,5031434C07Rik,,,,,,,,,,,,Gm3086,Mfsd4b5,Lcn2,Fkrp,,,,,,,,,,
Mettl6,Lamtor3,Olfr776,Vmn1r42,,,,,,,,,,,,Pvalb,Fam217b,Arid1b,Mtx3,,,,,,,,,,
Med1,Ndufaf5,Snora69,Aqp7,,,,,,,,,,,,Efna2,Cdc42ep3,Glmp,Tiprl,,,,,,,,,,
Clcn4,Zfp280b,Adamts17,Bsn,,,,,,,,,,,,Rbp7,Fscn1,Fcf1,Wdr73,,,,,,,,,,
Wdr13,Hcfc2,Pcdhb13,Apol7b,,,,,,,,,,,,Olfr809,Nim1k,Adsl,Tlr5,,,,,,,,,,
Lclat1,Cep95,Slc5a2,Pou5f2,,,,,,,,,,,,1600029O15Rik,Plet1,Slc37a3,Med4,,,,,,,,,,
Rmdn3,Ube2e2,ENSMUSG00000045440,Kirrel3,,,,,,,,,,,,Wfdc15b,Slc7a11,Trnau1ap,Ankrd26,,,,,,,,,,
4933434E20Rik,Morc4,Tnfaip6,Cdh17,,,,,,,,,,,,Lgi3,Olfr1028,Npr2,Styx,,,,,,,,,,
Mycbp,Tango6,ENSMUSG00000086954,Tmem178b,,,,,,,,,,,,Cadm2,Tab1,Inpp4a,Enox2,,,,,,,,,,
Golga3,Bcorl1,Otp,Olfr488,,,,,,,,,,,,Bex4,Smarcd3,Tsr1,Rdh14,,,,,,,,,,
Thada,Dnaaf10,Ces2d-ps,Tbx6,,,,,,,,,,,,Rhbdl2,Sema4d,Fam114a1,Slc35b3,,,,,,,,,,
Rbm4b,Zmym1,Frs3os,Ceacam19,,,,,,,,,,,,Irs3,Mfng,Mrps28,Fancl,,,,,,,,,,
Dnajc19,Ikzf5,Ppp2r2c,Rhbdl3,,,,,,,,,,,,Dnaaf3,Zfp438,Urad,Sppl3,,,,,,,,,,
Pde4b,Svip,Cltrn,Ankrd13d,,,,,,,,,,,,Alx1,Gm17830,Oaz2,Tbc1d31,,,,,,,,,,
Nvl,Swap70,Ccdc92,Hoxa2,,,,,,,,,,,,Stk32a,Adcyap1r1,Coa8,Mrps22,,,,,,,,,,
Rprd1a,Spata5,Fmo6,Mmp8,,,,,,,,,,,,ENSMUSG00000094845,Map1s,Rbfa,Usp31,,,,,,,,,,
Ostc,Prickle2,Prkcg,4930556J02Rik,,,,,,,,,,,,Tff1,Kntc1,Taf2,Ccdc157,,,,,,,,,,
Ncoa6,Uck2,Lyz1,Msc,,,,,,,,,,,,Ifna16,Isg20,Lrig1,Med28,,,,,,,,,,
Snx18,Rrp15,Prrt1,Gm12216,,,,,,,,,,,,Mak,Arid3a,Polr3b,Usp42,,,,,,,,,,
Gm8883,Bend3,ENSMUSG00000066688,Col26a1,,,,,,,,,,,,Fut7,AU023762,Llph,Poglut1,,,,,,,,,,
Tek,Malt1,Padi4,Tmsb15b2,,,,,,,,,,,,Olfr1501,Mapk15,Pxdn,Ip6k2,,,,,,,,,,
Rabggtb,Ccdc90b,Aplp1,Zdhhc15,,,,,,,,,,,,Fgf8,Naip5,Inpp5a,Emd,,,,,,,,,,
Chm,Ccdc88a,Olfr24,Bvht,,,,,,,,,,,,ENSMUSG00000024749,Vmn1r233,Cnpy3,Rps6kc1,,,,,,,,,,
Srsf10,Cluap1,Pcdhb4,2310020H05Rik,,,,,,,,,,,,Tph1,Gm10636,Col1a2,Dab2,,,,,,,,,,
Narf,Zfp790,ENSMUSG00000037735,Olfr1217,,,,,,,,,,,,Gpr173,Yju2,Chmp1a,Dars2,,,,,,,,,,
Tmbim4,Nudt2,Tmem35a,Paqr8,,,,,,,,,,,,Retnla,Atp2a3,Tars2,Zmat3,,,,,,,,,,
Nrbf2,1300002E11Rik,Sis,Mmp9,,,,,,,,,,,,Olfr1290,Gvin-ps6,Desi1,Anks3,,,,,,,,,,
Cbx3,Hs1bp3,Slfn5os,Nat8f3,,,,,,,,,,,,ENSMUSG00000029275,Zbtb8a,Grb2,Cnot11,,,,,,,,,,
Mob4,Ppip5k1,Ppef2,Olfr905,,,,,,,,,,,,ENSMUSG00000054582,Septin3,Myo9b,Mtrf1,,,,,,,,,,
Exoc4,P2ry2,Liph,Muc13,,,,,,,,,,,,Kel,Cenpi,Tmem86b,Upf3b,,,,,,,,,,
