gene	gene_cluster
ENSMUSG00000035177	9
ENSMUSG00000021265	9
ENSMUSG00000020024	13
ENSMUSG00000028626	1
ENSMUSG00000034121	9
ENSMUSG00000073406	9
ENSMUSG00000039246	0
ENSMUSG00000020277	7
ENSMUSG00000024340	9
ENSMUSG00000113211	3
ENSMUSG00000008136	7
ENSMUSG00000024403	5
ENSMUSG00000096233	10
ENSMUSG00000058183	3
ENSMUSG00000032038	0
ENSMUSG00000031853	4
ENSMUSG00000061614	10
ENSMUSG00000070699	4
ENSMUSG00000009394	5
ENSMUSG00000026705	14
ENSMUSG00000070719	10
ENSMUSG00000037628	9
ENSMUSG00000028902	11
ENSMUSG00000027636	0
ENSMUSG00000020831	1
ENSMUSG00000026664	7
ENSMUSG00000067604	2
ENSMUSG00000024127	5
ENSMUSG00000099923	3
ENSMUSG00000032112	13
ENSMUSG00000051493	3
ENSMUSG00000029848	4
ENSMUSG00000042759	1
ENSMUSG00000063273	8
ENSMUSG00000002718	8
ENSMUSG00000009907	8
ENSMUSG00000046909	9
ENSMUSG00000066515	2
ENSMUSG00000024033	9
ENSMUSG00000030268	5
ENSMUSG00000087519	3
ENSMUSG00000015337	4
ENSMUSG00000101500	2
ENSMUSG00000020868	1
ENSMUSG00000065396	2
ENSMUSG00000031271	4
ENSMUSG00000079451	4
ENSMUSG00000026565	8
ENSMUSG00000017446	0
ENSMUSG00000067529	3
ENSMUSG00000028550	1
ENSMUSG00000005883	1
ENSMUSG00000094893	3
ENSMUSG00000039347	5
