gene_id	gene_symbol	studies_tested	meta_log2_fold_change	meta_se	meta_z	meta_p_value	meta_fdr_bh	direction_up_studies	direction_down_studies	q_heterogeneity	i2_percent	heterogeneity_p_value	significant_fdr05_abs_log2fc1	consistent_direction
ENSMUSG00000040725	Hnrnpul1	8	-0.0061689166874096205	0.06690475517278308	-0.092204457986256	0.9265355961750117	0.9602100443288362	5	3	24.939109073061005	71.93163565108533	0.0007778917077596527	False	mixed
ENSMUSG00000037379	Spon2	8	0.011641303578605858	0.12628649477229245	0.09218169844365644	0.9265536786525557	0.9602100443288362	4	4	29.827198241677877	76.5314866542885	0.00010214552810771007	False	mixed
ENSMUSG00000086322	E130218I03Rik	7	-0.01857280942017807	0.20175481305767326	-0.09205633877427687	0.9266532777049655	0.9602648827401079	4	3	20.549241526726973	70.80184204270404	0.0022098658593500088	False	mixed
ENSMUSG00000032021	Crtam	8	-0.009881755582932404	0.10741519019507609	-0.09199588591693789	0.9267013082944222	0.9602662793620605	4	4	17.428971248559453	59.836986933014956	0.014829956173528449	False	mixed
ENSMUSG00000024661	Fth1	8	-0.0045693080433563855	0.04977740510758883	-0.091794822037836	0.926861058108862	0.9603834356890636	5	3	20.18341161440098	65.31805358908966	0.005186848391792248	False	mixed
ENSMUSG00000059772	Slx1b	8	-0.0054765802167427826	0.059770840810437535	-0.09162628704039294	0.9269949652604862	0.9604738042315116	5	3	22.557944679076805	68.96880411940757	0.002034415962615191	False	mixed
ENSMUSG00000046975	Olfr1020	7	0.009275706450754722	0.10139612089197128	0.09147989458726116	0.9271112810380325	0.9605459378942445	3	4	3.1045560613481387	0.0	0.7956142068707862	False	mixed
ENSMUSG00000039166	Akap7	8	0.0053297988560369195	0.05850411905003959	0.09110125821189188	0.9274121328936467	0.9606802955040372	4	4	12.30898009370276	43.130950357282806	0.0908448804057926	False	mixed
ENSMUSG00000070796	Psg21	2	0.00595878058405546	0.06542015574866203	0.09108478137760057	0.9274252250734486	0.9606802955040372	1	1	1.318714230240834	24.168559262656007	0.25082293656109417	False	mixed
ENSMUSG00000101429	BC055402	5	-0.00716077504891524	0.0786735401745728	-0.09101884868820985	0.9274776141336405	0.9606802955040372	2	3	1.5693721933749547	0.0	0.8142860571789994	False	mixed
ENSMUSG00000030450	Oca2	7	-0.01151849107791026	0.12674431386505722	-0.09087974621231391	0.9275881437666865	0.9606802955040372	3	4	8.125299025881006	26.156563827514827	0.22906659297130588	False	mixed
ENSMUSG00000031227	Magee1	8	0.007001891096043379	0.07706318859830462	0.09085908879972583	0.9276045580885799	0.9606802955040372	2	6	12.979532972507045	46.06893780517956	0.07260863929897526	False	mixed
ENSMUSG00000109321	A330076H08Rik	4	0.008448717539837293	0.09300185566778674	0.09084461249909978	0.9276160609346678	0.9606802955040372	2	2	3.771140749118952	20.448474358829298	0.2872608382354194	False	mixed
ENSMUSG00000056947	Mab21l1	7	0.01352782837381361	0.14891952788416166	0.09083985536360516	0.9276198409504767	0.9606802955040372	1	6	4.90400361123917	0.0	0.5561831504303172	False	mixed
ENSMUSG00000022827	Rabl3	8	-0.004332736968980906	0.04769990571846558	-0.09083323968297945	0.9276250977673779	0.9606802955040372	5	3	31.287533306087912	77.6268715992451	5.502215662698639e-05	False	mixed
