gene_id	gmm	hdbscan	spectral	consensus
ENSMUSG00000038047	14	0	7	4
ENSMUSG00000068506	1	0	5	0
ENSMUSG00000067767	1	0	5	0
ENSMUSG00000029564	4	0	6	1
ENSMUSG00000055298	1	0	5	0
ENSMUSG00000046913	1	0	5	0
ENSMUSG00000087115	1	0	5	0
ENSMUSG00000038155	15	0	23	13
ENSMUSG00000045917	8	0	15	12
ENSMUSG00000040855	17	0	13	3
ENSMUSG00000009549	16	0	8	7
ENSMUSG00000027715	6	0	23	10
ENSMUSG00000047030	8	0	1	12
ENSMUSG00000026034	17	0	13	3
ENSMUSG00000090141	1	0	5	0
ENSMUSG00000020419	9	0	4	2
ENSMUSG00000041741	19	0	7	4
ENSMUSG00000038949	0	0	17	11
ENSMUSG00000026701	3	0	11	9
ENSMUSG00000037944	7	0	18	2
ENSMUSG00000030970	14	0	15	4
ENSMUSG00000059077	1	0	5	0
ENSMUSG00000025270	15	0	2	13
ENSMUSG00000096351	4	0	6	1
ENSMUSG00000092111	2	0	24	8
ENSMUSG00000087480	6	0	23	10
ENSMUSG00000033149	17	0	13	3
ENSMUSG00000086219	5	0	0	6
ENSMUSG00000027074	16	0	8	7
ENSMUSG00000078753	1	0	5	0
ENSMUSG00000068173	1	0	5	0
ENSMUSG00000018740	7	0	18	2
ENSMUSG00000044317	7	0	18	2
ENSMUSG00000003549	11	0	0	6
ENSMUSG00000022982	12	0	10	9
ENSMUSG00000028862	15	0	18	13
ENSMUSG00000066030	1	0	5	0
ENSMUSG00000054459	4	0	21	1
ENSMUSG00000015947	6	0	23	10
ENSMUSG00000035764	19	0	17	4
ENSMUSG00000102099	4	0	6	1
ENSMUSG00000027555	2	0	18	8
ENSMUSG00000068246	17	0	22	3
ENSMUSG00000031786	1	0	5	0
ENSMUSG00000091155	4	0	9	1
ENSMUSG00000047544	1	0	5	0
ENSMUSG00000070780	17	0	13	3
ENSMUSG00000046300	1	0	5	0
ENSMUSG00000021376	13	0	22	3
ENSMUSG00000099968	1	0	5	0
ENSMUSG00000020974	2	0	24	8
ENSMUSG00000068742	18	0	2	5
ENSMUSG00000051051	4	0	4	1
ENSMUSG00000027306	2	0	24	8
ENSMUSG00000065508	1	0	5	0
ENSMUSG00000000167	2	0	18	8
ENSMUSG00000078619	13	0	22	3
ENSMUSG00000112937	9	0	4	2
ENSMUSG00000002603	8	0	15	12
ENSMUSG00000030111	4	0	21	1
ENSMUSG00000032988	4	0	21	1
ENSMUSG00000000567	15	0	23	13
ENSMUSG00000020299	1	0	5	0
ENSMUSG00000086823	4	0	21	1
ENSMUSG00000032511	1	0	5	0
ENSMUSG00000024427	15	0	1	13
ENSMUSG00000011148	10	0	1	5
ENSMUSG00000033027	1	0	5	0
ENSMUSG00000029136	14	0	1	4
ENSMUSG00000073907	9	0	4	2
ENSMUSG00000002820	18	0	2	5
ENSMUSG00000044167	16	0	8	7
ENSMUSG00000041750	7	0	0	2
ENSMUSG00000116848	1	0	5	0
ENSMUSG00000042498	9	0	6	2
ENSMUSG00000028718	9	0	4	2
ENSMUSG00000035547	11	0	0	6
ENSMUSG00000062873	1	0	5	0
ENSMUSG00000021482	17	0	13	3
ENSMUSG00000030805	10	0	2	5
ENSMUSG00000037994	2	0	24	8
ENSMUSG00000037788	14	0	7	4
ENSMUSG00000047720	1	0	5	0
ENSMUSG00000050334	4	0	6	1
ENSMUSG00000096697	1	0	5	0
ENSMUSG00000031628	0	0	17	11
ENSMUSG00000090219	2	0	24	8
ENSMUSG00000077191	1	0	5	0
ENSMUSG00000078672	15	0	10	13
ENSMUSG00000045968	5	0	0	6
ENSMUSG00000033767	16	0	8	7
ENSMUSG00000039199	5	0	0	6
ENSMUSG00000104401	4	0	21	1
ENSMUSG00000070943	1	0	5	0
ENSMUSG00000020654	11	0	0	6
ENSMUSG00000021693	19	0	17	4
ENSMUSG00000048772	10	0	1	5
ENSMUSG00000072704	3	0	13	9
ENSMUSG00000049421	16	0	8	7
ENSMUSG00000032396	0	0	2	11
ENSMUSG00000022346	11	0	0	6
