_MEMBER_DESeq2_meta_sig_12filter,_MEMBER_FLT_cluster_13_muscle_contractile,_MEMBER_FLT_cluster_14_liver_secreted,_MEMBER_FLT_cluster_15_contractile_mito,_MEMBER_FLT_cluster_3_mixed_stress,_MEMBER_GC_cluster_1_DE_enriched,_LogP_DESeq2_meta_sig_12filter,_LogP_FLT_cluster_13_muscle_contractile,_LogP_FLT_cluster_14_liver_secreted,_LogP_FLT_cluster_15_contractile_mito,_LogP_FLT_cluster_3_mixed_stress,_LogP_GC_cluster_1_DE_enriched,GO,Description,_PATTERN_,_RANK_,GiniIndex
0,0,0,0,1,0,0,0,0,0,-2.2,0,GO:0017157,regulation of exocytosis,M000010,1,0
0,0,1,0,0,0,0,0,-4.4,0,0,0,R-MMU-9018682,Biosynthesis of maresins,M001000,1,0
0,0,1,0,0,0,0,0,-2.2,0,0,0,GO:0030890,positive regulation of B cell proliferation,M001000,1,0
0,0,1,0,0,0,0,0,-13,0,0,0,GO:0032787,monocarboxylic acid metabolic process,M001000,1,0
0,0,0,0,0,1,0,0,0,0,0,-2.5,GO:0032310,prostaglandin secretion,M000001,1,0
0,1,0,0,0,0,0,-2.2,0,0,0,0,GO:0008016,regulation of heart contraction,M010000,1,0
0,0,1,0,0,0,0,0,-2.1,0,0,0,GO:0006693,prostaglandin metabolic process,M001000,1,0
0,0,0,1,0,0,0,0,0,-2.5,0,0,GO:0072080,nephron tubule development,M000100,1,0
0,0,0,0,0,1,0,0,0,0,0,-2.2,GO:0051952,regulation of amine transport,M000001,1,0
0,0,0,0,0,1,0,0,0,0,0,-2,GO:0006590,thyroid hormone generation,M000001,1,0
0,0,1,0,0,0,0,0,-11,0,0,0,mmu05204,Chemical carcinogenesis - DNA adducts - Mus musculus (house mouse),M001000,1,0
0,0,1,0,0,0,0,0,-3.4,0,0,0,GO:0019216,regulation of lipid metabolic process,M001000,1,0
0,0,1,0,0,0,0,0,-2.8,0,0,0,GO:2000322,regulation of nuclear receptor-mediated glucocorticoid signaling pathway,M001000,1,0
0,1,0,0,0,0,0,-2,0,0,0,0,GO:0007219,Notch signaling pathway,M010000,1,0
0,0,0,0,1,0,0,0,0,0,-2.1,0,GO:0008045,motor neuron axon guidance,M000010,1,0
0,1,0,0,0,0,0,-5,0,0,0,0,GO:0032970,regulation of actin filament-based process,M010000,1,0
0,0,1,0,0,0,0,0,-2.4,0,0,0,GO:0010038,response to metal ion,M001000,1,0
0,0,0,1,0,0,0,0,0,-2.1,0,0,GO:1904062,regulation of monoatomic cation transmembrane transport,M000100,1,0
0,0,0,1,0,0,0,0,0,-3.5,0,0,GO:0043500,muscle adaptation,M000100,1,0
0,0,1,0,0,0,0,0,-2.7,0,0,0,mmu01040,Biosynthesis of unsaturated fatty acids - Mus musculus (house mouse),M001000,1,0
0,0,1,0,0,0,0,0,-6.8,0,0,0,R-MMU-72766,Translation,M001000,1,0
0,0,0,0,1,0,0,0,0,0,-2.1,0,GO:0023061,signal release,M000010,1,0
0,0,0,1,0,0,0,0,0,-3.2,0,0,R-MMU-1442490,Collagen degradation,M000100,1,0
0,0,1,0,0,0,0,0,-5,0,0,0,mmu04710,Circadian rhythm - Mus musculus (house mouse),M001000,1,0
0,0,0,0,1,0,0,0,0,0,-2.2,0,GO:0097485,neuron projection guidance,M000010,1,0
0,1,0,0,0,0,0,-2.2,0,0,0,0,GO:1901880,negative regulation of protein depolymerization,M010000,1,0
0,0,1,0,0,0,0,0,-6.4,0,0,0,GO:0009820,alkaloid metabolic process,M001000,1,0
0,0,1,0,0,0,0,0,-2.9,0,0,0,WP103,Cholesterol biosynthesis,M001000,1,0
