condition	collection	age	sample	muscle_mean_log2	muscle_markers_over_100	muscle_marker_fraction_percent	liver_mean_log2	liver_markers_over_100	muscle_score_robust_z_within_stratum	severe_muscle_composition_outlier
VIV	LAR	YNG	RR8_LVR_VIV_LAR_YNG_VL10	0.9816368995866936	0	9.786689246027875e-05	16.80147853727589	8	-0.6887019432769076	False
BSL	ISS-T	OLD	RR8_LVR_BSL_ISS-T_OLD_BI2	0.9698640208069207	0	9.972080262937869e-05	17.64689172529127	8	-0.67448975	False
GC	ISS-T	YNG	RR8_LVR_GC_ISS-T_YNG_GI4	0.9656583470649762	0	0.00011620942088141887	17.172098429579144	8	-0.6641598991981975	False
GC	ISS-T	YNG	RR8_LVR_GC_ISS-T_YNG_GI1	0.9472460218005434	0	0.0001956608430874031	17.28411422689639	8	-0.6848196008018025	False
GC	LAR	YNG	RR8_LVR_GC_LAR_YNG_GL17	0.9429993156540671	0	0.0002565950041322388	17.24269970175223	8	-1.120874787458977	False
GC	ISS-T	OLD	RR8_LVR_GC_ISS-T_OLD_GI17	0.9345425018082298	0	0.00016898531744630584	17.04243510356335	8	-0.7164143459724317	False
BSL	ISS-T	YNG	RR8_LVR_BSL_ISS-T_YNG_BI18	0.9117289346435482	0	0.00012965204718135074	17.247619266529043	8	-0.8209467940990429	False
FLT	LAR	YNG	RR8_LVR_FLT_LAR_YNG_FL13	0.90604481514581	0	0.00017596207409206112	17.39124810745657	8	-0.8338023589519163	False
GC	ISS-T	OLD	RR8_LVR_GC_ISS-T_OLD_GI19	0.9012484033482184	0	0.00022340430856356702	17.327016988887756	8	-0.760888445178701	False
FLT	ISS-T	YNG	RR8_LVR_FLT_ISS-T_YNG_FI2	0.8920556409559065	0	0.00020824788500466854	17.387557555412958	8	-0.7365629078312995	False
GC	ISS-T	OLD	RR8_LVR_GC_ISS-T_OLD_GI13	0.866764463441851	0	0.00012841199126103708	17.167695131345166	8	-0.8069519289597928	False
GC	ISS-T	YNG	RR8_LVR_GC_ISS-T_YNG_GI6	0.8381378845318626	0	0.00018827736191345606	17.160802745638264	8	-0.8072452871897381	False
BSL	LAR	YNG	RR8_LVR_BSL_LAR_YNG_BL9	0.8304960688278451	0	7.123906853550956e-05	16.665776442503134	8	-0.67448975	False
FLT	ISS-T	OLD	RR8_LVR_FLT_ISS-T_OLD_FI18	0.8294591769787398	0	0.0001304666427368783	17.071204838693443	8	-0.8200322717916564	False
BSL	ISS-T	OLD	RR8_LVR_BSL_ISS-T_OLD_BI4	0.8218483325518517	0	9.879691892552916e-05	17.398912829074494	8	-0.732899701357918	False
FLT	ISS-T	YNG	RR8_LVR_FLT_ISS-T_YNG_FI4	0.7606691891491874	0	0.00020940700176481938	17.41719613041741	8	-0.8564892271297286	False
VIV	ISS-T	OLD	RR8_LVR_VIV_ISS-T_OLD_VI18	0.7528917696802166	0	0.000163435331745284	17.33365601520868	8	-2.0297461468897504	False
BSL	LAR	YNG	RR8_LVR_BSL_LAR_YNG_BL8	0.741681013648957	0	0.0001544109753219347	16.831013115089707	8	-0.809418915830408	False
BSL	ISS-T	OLD	RR8_LVR_BSL_ISS-T_OLD_BI9	0.6263185277480962	0	7.40795286415778e-05	17.852098613019628	8	-0.8100596735355255	False
