tissue	atlas_tissue	compartment	atlas_cells	rank	gene_id	atlas_log2cpm	specificity_log2_fold
liver	liver	hepatocyte	1162	28	ENSMUSG00000026532	4.698400974273682	4.631697654724121
liver	liver	hepatocyte	1162	29	ENSMUSG00000027792	6.78486967086792	4.594696998596191
liver	liver	hepatocyte	1162	30	ENSMUSG00000025271	6.252534866333008	4.5522871017456055
liver	liver	endothelial	617	1	ENSMUSG00000031196	12.506695747375488	7.797607421875
liver	liver	endothelial	617	2	ENSMUSG00000028713	14.371957778930664	7.479312896728516
liver	liver	endothelial	617	3	ENSMUSG00000006386	11.040122032165527	7.4030375480651855
liver	liver	endothelial	617	4	ENSMUSG00000021759	14.097865104675293	7.364101409912109
liver	liver	endothelial	617	5	ENSMUSG00000045312	10.578652381896973	7.198317527770996
liver	liver	endothelial	617	6	ENSMUSG00000020357	12.409185409545898	7.119808197021484
liver	liver	endothelial	617	7	ENSMUSG00000030787	11.11557674407959	7.108552932739258
liver	liver	endothelial	617	8	ENSMUSG00000004655	14.028522491455078	7.007090091705322
liver	liver	endothelial	617	9	ENSMUSG00000062960	13.55511474609375	6.980561256408691
liver	liver	endothelial	617	10	ENSMUSG00000027358	12.054099082946777	6.952622413635254
liver	liver	endothelial	617	11	ENSMUSG00000038007	10.777844429016113	6.849446773529053
liver	liver	endothelial	617	12	ENSMUSG00000058806	9.51306438446045	6.686580657958984
liver	liver	endothelial	617	13	ENSMUSG00000050953	9.9835786819458	6.654197692871094
liver	liver	endothelial	617	14	ENSMUSG00000032135	9.216446876525879	6.54949426651001
liver	liver	endothelial	617	15	ENSMUSG00000029710	10.178556442260742	6.415861129760742
liver	liver	endothelial	617	16	ENSMUSG00000040283	10.369385719299316	6.389491081237793
liver	liver	endothelial	617	17	ENSMUSG00000020176	7.7481794357299805	6.36272668838501
liver	liver	endothelial	617	18	ENSMUSG00000025969	10.665139198303223	6.320119380950928
liver	liver	endothelial	617	19	ENSMUSG00000022893	10.37620735168457	6.254063129425049
