tissue	accession	display_label	context_group	contrast_order	site	gravity	collection_context	term	short_label	pathway_order	n_flight	n_ground_control	flight_minus_ground
skin	OSD-254	RR-7 C57BL/6J 25 days	Recovery, endpoint, duration, and strain	10	dorsal skin	microgravity exposure	ISS terminal after 25 days	R-MMU-421270_CELL_CELL_JUNCTION_ORGANIZATION	Cell-cell junction organization	2	5	5	-0.26413013399999996
skin	OSD-254	RR-7 C57BL/6J 25 days	Recovery, endpoint, duration, and strain	10	dorsal skin	microgravity exposure	ISS terminal after 25 days	R-MMU-3247509_CHROMATIN_MODIFYING_ENZYMES	Chromatin-modifying enzymes	3	5	5	-0.99300924
skin	OSD-254	RR-7 C57BL/6J 25 days	Recovery, endpoint, duration, and strain	10	dorsal skin	microgravity exposure	ISS terminal after 25 days	R-MMU-190828_GAP_JUNCTION_TRAFFICKING	Gap-junction trafficking	4	5	5	-0.566318514
skin	OSD-254	RR-7 C57BL/6J 25 days	Recovery, endpoint, duration, and strain	10	dorsal skin	microgravity exposure	ISS terminal after 25 days	R-MMU-156580_PHASE_II_CONJUGATION_OF_COMPOUNDS	Phase II detoxification	5	5	5	-0.30888446800000025
skin	OSD-254	RR-7 C57BL/6J 25 days	Recovery, endpoint, duration, and strain	10	dorsal skin	microgravity exposure	ISS terminal after 25 days	R-MMU-5358351_SIGNALING_BY_HEDGEHOG	Hedgehog signaling	6	5	5	-0.28182219
skin	OSD-254	RR-7 C57BL/6J 25 days	Recovery, endpoint, duration, and strain	10	dorsal skin	microgravity exposure	ISS terminal after 25 days	R-MMU-428157_SPHINGOLIPID_METABOLISM	Sphingolipid metabolism	7	5	5	-0.2871060820000001
skin	OSD-254	RR-7 C57BL/6J 75 days	Recovery, endpoint, duration, and strain	11	dorsal skin	microgravity exposure	ISS terminal after 75 days	R-MMU-6805567_KERATINIZATION	Keratinization	0	5	5	-3.8921228800000005
skin	OSD-254	RR-7 C57BL/6J 75 days	Recovery, endpoint, duration, and strain	11	dorsal skin	microgravity exposure	ISS terminal after 75 days	R-MMU-73894_DNA_REPAIR	DNA repair	1	5	5	-1.029812504
skin	OSD-254	RR-7 C57BL/6J 75 days	Recovery, endpoint, duration, and strain	11	dorsal skin	microgravity exposure	ISS terminal after 75 days	R-MMU-421270_CELL_CELL_JUNCTION_ORGANIZATION	Cell-cell junction organization	2	5	5	-0.6313853079999998
skin	OSD-254	RR-7 C57BL/6J 75 days	Recovery, endpoint, duration, and strain	11	dorsal skin	microgravity exposure	ISS terminal after 75 days	R-MMU-3247509_CHROMATIN_MODIFYING_ENZYMES	Chromatin-modifying enzymes	3	5	5	-2.30641916
skin	OSD-254	RR-7 C57BL/6J 75 days	Recovery, endpoint, duration, and strain	11	dorsal skin	microgravity exposure	ISS terminal after 75 days	R-MMU-190828_GAP_JUNCTION_TRAFFICKING	Gap-junction trafficking	4	5	5	-1.5537647639999999
skin	OSD-254	RR-7 C57BL/6J 75 days	Recovery, endpoint, duration, and strain	11	dorsal skin	microgravity exposure	ISS terminal after 75 days	R-MMU-156580_PHASE_II_CONJUGATION_OF_COMPOUNDS	Phase II detoxification	5	5	5	-0.762452248
skin	OSD-254	RR-7 C57BL/6J 75 days	Recovery, endpoint, duration, and strain	11	dorsal skin	microgravity exposure	ISS terminal after 75 days	R-MMU-5358351_SIGNALING_BY_HEDGEHOG	Hedgehog signaling	6	5	5	-0.7379355312
skin	OSD-254	RR-7 C57BL/6J 75 days	Recovery, endpoint, duration, and strain	11	dorsal skin	microgravity exposure	ISS terminal after 75 days	R-MMU-428157_SPHINGOLIPID_METABOLISM	Sphingolipid metabolism	7	5	5	-0.887632662
