tissue	term	within_accession_unadjusted_effect	composition_proxy_adjusted_effect	adjusted_direction_matches_unadjusted	absolute_effect_ratio_adjusted_to_unadjusted	absolute_attenuation_fraction	short_label	evidence_role	family_representative	curated_pathway
thymus	R-MMU-3214858_RMTS_METHYLATE_HISTONE_ARGININES	0.0005629898671523297	0.00046450922648670764	True	0.8250756427220458	0.1749243572779542			False	False
thymus	R-MMU-3247509_CHROMATIN_MODIFYING_ENZYMES	-0.7943945880645161	-0.4849270639711913	True	0.6104360115955477	0.3895639884044523			False	False
thymus	R-MMU-3700989_TRANSCRIPTIONAL_REGULATION_BY_TP53	0.0005284291003584242	-0.010872793527778663	False	20.575690325161574	-19.575690325161574			False	False
thymus	R-MMU-372790_SIGNALING_BY_GPCR	0.3318012442867383	0.16622943003766408	True	0.5009909784847304	0.4990090215152696			False	False
thymus	R-MMU-373076_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS	-0.003993874102867394	0.07306000264915677	False	18.293015945771423	-17.293015945771423			False	False
thymus	R-MMU-375165_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH	-0.009542628648458779	-0.00510377244622652	True	0.5348392601498566	0.4651607398501434			False	False
thymus	R-MMU-375276_PEPTIDE_LIGAND_BINDING_RECEPTORS	0.07147392186971327	-0.04668425498643453	False	0.6531648713992951	0.34683512860070487			False	False
thymus	R-MMU-380108_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	-0.07417783089605733	-0.18115550160457725	True	2.442178470524756	-1.4421784705247558			False	False
thymus	R-MMU-380320_RECRUITMENT_OF_NUMA_TO_MITOTIC_CENTROSOMES	0.0033675080184587813	0.0027097942234973697	True	0.8046882765070802	0.1953117234929198			False	False
thymus	R-MMU-381426_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS	0.25455788476702507	-0.1808339859847439	False	0.7103845404366307	0.2896154595633693			False	False
thymus	R-MMU-382551_TRANSPORT_OF_SMALL_MOLECULES	0.4393754010752688	0.23296899927217174	True	0.5302276793421626	0.46977232065783736			False	False
