review_row	term	flight_minus_ground	signed_accession_mean_flt_minus_gc	mean_abs_accession_effect	category	category_label	matched_keyword	rationale	effect_direction
79	R-MMU-4839726_CHROMATIN_ORGANIZATION	0.3496175372010563	0.2879150712740431	0.3872059943619217	plausible_complementary	plausible/complementary	chromatin	plausible complementary mechanism: chromatin	FLT_up
80	R-MMU-1266738_DEVELOPMENTAL_BIOLOGY	-0.9828317486566912	-0.8333855167567784	1.1100115586759705	plausible_complementary	plausible/complementary	developmental biology	plausible complementary mechanism: developmental biology	FLT_down
81	R-MMU-195721_SIGNALING_BY_WNT	0.1512815782448944	0.13510168074460377	0.1722109732112704	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_up
82	R-MMU-3000171_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS	-0.120327910794014	-0.09633704597771577	0.153406016311049	prior_literature_match	prior literature match	ecm	matches expected tissue/spaceflight biology: ecm	FLT_down
83	R-MMU-1257604_PIP3_ACTIVATES_AKT_SIGNALING	-0.125568732903213	-0.10107766457252233	0.1298031177391889	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_down
84	R-MMU-70326_GLUCOSE_METABOLISM	0.2593844398892606	0.22017594486967926	0.3528644921424064	prior_literature_match	prior literature match	glucose	matches expected tissue/spaceflight biology: glucose	FLT_up
85	R-MMU-2029480_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS	-0.2606068018992959	-0.2836183370042355	0.3859729604042356	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_down
86	R-MMU-9759476_REGULATION_OF_HOMOTYPIC_CELL_CELL_ADHESION	-0.0915262175545774	-0.06431351393725854	0.1015311510635211	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_down
87	R-MMU-9937848_CHD_CHROMATIN_REMODELERS	-0.0511300613855281	-0.049324012565026575	0.0636100512346225	plausible_complementary	plausible/complementary	chromatin	plausible complementary mechanism: chromatin	FLT_down
88	R-MMU-3371556_CELLULAR_RESPONSE_TO_HEAT_STRESS	-0.1566453459864435	-0.144964455782076	0.2303444008265204	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_down
