FLT_cluster_02,FLT_cluster_03,FLT_cluster_04,FLT_cluster_05,FLT_cluster_06,FLT_cluster_07,FLT_cluster_08,FLT_cluster_09,FLT_cluster_10,FLT_cluster_11,FLT_cluster_12,FLT_cluster_13,FLT_cluster_14,GC_cluster_02,GC_cluster_03,GC_cluster_04,GC_cluster_05,GC_cluster_06,GC_cluster_07,GC_cluster_08,GC_cluster_09,GC_cluster_10,GC_cluster_11,GC_cluster_12,GC_cluster_13,GC_cluster_14
Emsy,Pnpt1,Nek7,Ddx6,,,,,,,,,,ENSMUSG00000054418,Snx16,Incenp,Nfx1,Sdc2,Mtmr10,,,,,,,
Ube2e1,Higd2a,Flii,Abce1,,,,,,,,,,Tead4,Zfp384,Rpgr,Slc39a8,Mia3,Cstb,,,,,,,
Smtn,Wdtc1,Fbxo8,Alkbh5,,,,,,,,,,Trpm5,Agbl3,Ddx18,Zeb2,Mrfap1,Fam13a,,,,,,,
Synrg,Nr2c2,Fam136a|Gm30502,Abcg8,,,,,,,,,,Wdr17,Tfcp2,Brip1,Bckdhb,Srebf1,Ubtf,,,,,,,
Ccn1,Siae,Acin1,Abcb7,,,,,,,,,,Ripply3,Mcam,Ptpre,Zfp266,Setd3,Psmd14,,,,,,,
Tbx15,Slc48a1,Blvrb,Decr1,,,,,,,,,,Zfp879,Icam1,Cd4,Tmem19,Fech,Nfat5,,,,,,,
Zfp825,Pet100,Hcfc1,Cct8,,,,,,,,,,Gpbar1,Bmf,Gbp5,Pik3ap1,Eif4a2,Kcmf1,,,,,,,
Itga7,Tspo,Yif1a,Cul4a,,,,,,,,,,4932702P03Rik,Ncf2,Tatdn3,Rangap1,Dnaja3,Ss18l2,,,,,,,
Mbd1,Fchsd2,Erlin1,,,,,,,,,,,Nova1,Slc50a1,Prok1,Lima1,Eno1,Ppp6r2,,,,,,,
Zbtb4,Hyal1,Pex13,,,,,,,,,,,Tceal3,Prkch,Nup35,Gchfr,Rnf128,Pyurf,,,,,,,
Vars1,Psmb5,Atosa,,,,,,,,,,,Sox12,Gata6,Tspan18,Nsd3,Acadsb,Fam20c,,,,,,,
Ccnd3,Lactb,Ptbp1,,,,,,,,,,,Aurkc,Ptcd1,Mfap4,Diaph1,Mtss1,Tsku,,,,,,,
Map2k7,Fem1b,Man2b2,,,,,,,,,,,Guca2b,Dapk3,Clec12a,Dpp8,Atp5mj,Col4a2,,,,,,,
Golt1a,Tmem208,Echdc2,,,,,,,,,,,Cfap65,Zfp101,Snord14d,Spcs1,0610005C13Rik,Slc25a42,,,,,,,
Map4k4,Eif4e,Gatad1,,,,,,,,,,,Fam110b,Pradc1,Lrrc40,Fitm2,Gnai3,Vps13a,,,,,,,
Raver1,Pon2,Anxa5,,,,,,,,,,,Lpcat2,Ctnnbip1,Ccdc149,Sem1,Lipc,Sbf1,,,,,,,
Ints13,Nfix,Hnrnpm,,,,,,,,,,,Zfp536,Fam76b,Efnb2,Sec61b,Dpp4,Ttc23,,,,,,,
Ogfod2,Fus,Septin11,,,,,,,,,,,2310069B03Rik,Rab27a,Zfp213,Arpc3,Stab2,Chchd1,,,,,,,
Mpp1,Mien1,Wac,,,,,,,,,,,Spag6l,Plekhh3,Syde1,Slc35d2,Psmd8,Ppp1r10,,,,,,,
Enpp4,Ank,Eif4e2,,,,,,,,,,,Far2,D16Ertd472e,Lacc1,Hook1,Ctnnb1,Uqcc3,,,,,,,
Ncald,Pdcd10,Trrap,,,,,,,,,,,Crocc,Galc,Ndst2,Mup10,Psma3,Serpinb6a,,,,,,,
Clasp1,Nomo1,G3bp2,,,,,,,,,,,Foxc1,Ing2,Hps1,Lats1,Suclg2,Dnajc14,,,,,,,
Slc2a5,Depdc7,Mlf2,,,,,,,,,,,Trim71,Zfp606,Sumf2,Pet100,Sec61a1,Arl6ip5,,,,,,,
Fam98a,Mllt10,Cttn,,,,,,,,,,,Ace2,Eri1,ENSMUSG00000080242,Top2b,Nr1h4,Rbm5,,,,,,,
Atg4b,Shroom2,Yap1,,,,,,,,,,,Efcab6,Pgls,Dlgap1,Coa5,Stard4,Polr1d,,,,,,,
Pdcd11,Mafb,Lamtor2,,,,,,,,,,,Tmem17,Sdad1,Blm,Gbp11,Abca8a,Qser1,,,,,,,
Cdkn1b,Wrnip1,Psmc2,,,,,,,,,,,Themis,Htra2,Gpx8,Araf,Fpgs,Atp6v0a2,,,,,,,
Pign,Nrbp1,Gcn1,,,,,,,,,,,Moap1,Tnfrsf21,Zfp810,Ppp2r5e,Nme2,Supt16,,,,,,,
Il17ra,Ryk,Epg5,,,,,,,,,,,ENSMUSG00000097194,Hspbp1,Ntaq1,Lrrc59,Grn,Supt4a,,,,,,,
Soat2,Pex2,Dnase1l3,,,,,,,,,,,BC065397,Nabp1,Glb1l,Stat1,Wdr26,Slc39a7,,,,,,,
Prr13,Pno1,Chmp5,,,,,,,,,,,Dlx1,Rrs1,Atg10,Nrbp1,Sec16b,Arhgdia,,,,,,,
Slc49a4,Hjv,Taok3,,,,,,,,,,,Amigo3,Zfp949,ENSMUSG00000029720,Cd59a,Mfn2,Gdi1,,,,,,,
Cpe,Stag1,Zdhhc6,,,,,,,,,,,Gm5127,Ogfod3,Chrna4,Pitpnb,Dst,Ehd1,,,,,,,
Cwc22,Tmem123,Sesn3,,,,,,,,,,,Slc7a6,Ggta1,Fam111a,Slc23a1,Acsm3,Ugt1a9,,,,,,,
Dnase2b,Mcc,Gatad2a,,,,,,,,,,,E230025N22Rik,Jade3,Zfp628,Myo6,Ilrun,Coq10b,,,,,,,
Eri3,Avpr1a,Ergic1,,,,,,,,,,,Arg2,Cnnm3,Apbb1ip,Dnajc5,Esd,Mrpl41,,,,,,,
Gm14325,Nags,Dek,,,,,,,,,,,Rims1,Brat1,D930048N14Rik,Sfpq,Egfr,Gss,,,,,,,
Slc5a6,Tmx1,Pcbp1,,,,,,,,,,,Slc12a5,ENSMUSG00000099681,Cep70,Tomm7,Retreg3,Ngly1,,,,,,,
Cux2,Tlcd1,Mrpl51,,,,,,,,,,,Minar2,Fat4,Rab4b,Maf,Ndufa7,Brd7,,,,,,,
Txlna,Rbx1,Ufl1,,,,,,,,,,,Dzip1,Tbp,Mettl18,Mcc,Slc31a1,Irgm2,,,,,,,
Myadm,Eva1a,Eif3m,,,,,,,,,,,Teddm1a,Odf2l,Qtrt1,Adtrp,Pcbp2,Ss18,,,,,,,
Csrp1,Epb41l5,Selenoi,,,,,,,,,,,Stum,Plpp6,Zfp52,Tmx1,Evi5,Sdf2,,,,,,,
Dtx4,Nap1l4,Hmox2,,,,,,,,,,,Etv4,Dolpp1,Adamdec1,Dhx9,Cyp2a22,Ndufc2,,,,,,,
Man2c1,Rigi,Dnajb11,,,,,,,,,,,Fam178b,Zfp932,Pabpn1,Dynll2,Xiap,Htatsf1,,,,,,,
Niban1,Kpna6,Mrpl30,,,,,,,,,,,Vmn1r198,Pdik1l,Ccdc62,Sgpl1,Elovl6,Nf2,,,,,,,
Niban2,Pde8a,Zbtb44,,,,,,,,,,,Rps23rg1,Uggt2,Gimap1,Chd8,Vps35,Prr16,,,,,,,
Tor2a,Zfp970,Sbf2,,,,,,,,,,,Or51v8,Snrnp25,Syt9,Eci1,Arrdc3,Ap3b1,,,,,,,
Pdf,Khnyn,Atp1b1,,,,,,,,,,,Crispld1,Clec1a,Rassf1,Srsf1,Cxadr,Hras,,,,,,,
Pdgfrb,Srxn1,Tardbp,,,,,,,,,,,Dynlt4,Rngtt,Lilrb4a,Crebl2,Ppp1cb,Fndc3b,,,,,,,
Tfdp2,Crebl2,Slc17a3,,,,,,,,,,,Ramp3,Banp,Tmem101,Eno1b,Tut7,Fcna,,,,,,,
Insc,Cyld,Arih1,,,,,,,,,,,Prdm5,Tmem170,Npdc1,Slmap,Herpud1,Smc6,,,,,,,
Plscr1,Map2k4,Washc2,,,,,,,,,,,Eif4a3l1,Dmap1,Lpar1,Necab1,Deptor,Ifnar2,,,,,,,
Helz,Iscu,C2,,,,,,,,,,,Pcdhb14,Dgka,Gimap5,Iscu,Hmgcl,Arpc1a,,,,,,,
Emc8,Rnf114,Ago2,,,,,,,,,,,Arhgap28,Peds1,Adat2,Jmjd1c,Tprkb,Foxa3,,,,,,,
Usp46,Josd1,Mif,,,,,,,,,,,Klk9,Hook2,Bhlhb9,Paip1,Trap1,Zfx,,,,,,,
Il18,Pex16,Cpq,,,,,,,,,,,Rasd2,Mtf2,Dusp7,Rnf114,Tmem30a,Rnf19a,,,,,,,
Bltp3a,Rnf20,Septin9,,,,,,,,,,,Lce1m,Inca1,Sobp,Tab2,Mapk1,Micos10,,,,,,,
Mrpl32,Mt2,Nf1,,,,,,,,,,,Tet1,Vcf1,Atp8b2,Brwd1,Serpina10,Pex6,,,,,,,
Sys1,Acp1,Kdm2a,,,,,,,,,,,Slc6a20b,Trmu,Rab34,Pi4ka,Rps10,Mdn1,,,,,,,
Gpr108,Gdf2,Esr1,,,,,,,,,,,Cage1,Arsa,Rpl34-ps1,Mt2,Ctsd,Adrm1,,,,,,,
Midn,Cul5,Pkd1,,,,,,,,,,,Zfp345,Zfp219,Fdxacb1,Tnrc6a,Ppp1r3b,Arid1b,,,,,,,
Tmem30b,Sult2a5,Tmem150a,,,,,,,,,,,Rubcnl,Crybg2,Aifm3,Tmem245,Rpl12,Rwdd1,,,,,,,
Trappc2b,Rhot1,Hif1a,,,,,,,,,,,Chaf1b,Emilin2,H1f1,Klf3,Dpys,Sdr9c7,,,,,,,
Atpaf1,Cast,Cldn3,,,,,,,,,,,Mansc4,Mrnip,Ltbp2,Sult2a5,Ifitm2,Commd6,,,,,,,
Dr1,Gsap,Kank1,,,,,,,,,,,Dhrs9,Cyria,Lgals3,Pcnp,Coq8a,Hprt1,,,,,,,
Actl6a,Mrpl27,Atp6ap1,,,,,,,,,,,Rab6b,Recql5,Fam118a,Capzb,Selenof,Fbxo31,,,,,,,
Gypc,Ift20,Vegfa,,,,,,,,,,,AI197445,Dolk,Il1a,Ubl3,Arl5a,Golga7|Gm6829,,,,,,,
Cdk8,Smim20,Hdac11,,,,,,,,,,,Cngb3,Rabl3,Myef2,Gpbp1l1,Sds,Vps54,,,,,,,
Ptov1,Scaf8,Apol9a,,,,,,,,,,,Nlrp1b,Gata4,Haghl,Psmd6,Nat8f1,Dyrk2,,,,,,,
Snrnp70,Samd9l,Chd1,,,,,,,,,,,Gpr33,Atad2,Zfp418,S1pr1,Jak1,Zfyve26,,,,,,,
Uevld,Bdp1,Dnm2,,,,,,,,,,,Klrb1b,Mnat1,Actc1,Abca2,Cct5,Gna11,,,,,,,
Yipf1,Ppm1g,Psme2,,,,,,,,,,,Cdc25c,Tagln,Ccnj,Mrpl27,Mmut,Bst2,,,,,,,
Tspan7,Ncor2,Bcar3,,,,,,,,,,,ENSMUSG00000083844,Top3a,Accs,Vnn1,Hnrnpf,Nop10,,,,,,,
Mif4gd,Mrpl20,Cert1,,,,,,,,,,,Gdpd5,Eri2,Rusc1,Dlc1,Os9,Avpi1,,,,,,,
Togaram1,Zc3h18,Dusp16,,,,,,,,,,,Tpsb2,Zfp760,Tifa,Gpbp1,Ndufs1,Ykt6,,,,,,,
Wdfy1,Dvl1,Tmx2,,,,,,,,,,,Hunk,Alg9,Shkbp1,Chd9,Ggact,Phf20l1,,,,,,,
Apmap,Nme1,Bsdc1,,,,,,,,,,,Hs6st3,Dock2,Plagl1,Arfgef2,Etf1,Ido2,,,,,,,
Wdr55,Lamtor5,Xylb,,,,,,,,,,,Cd19,Cpne1,Gm5431,Svil,C130074G19Rik,Cbx5,,,,,,,
Sned1,Pea15a,Psmd3,,,,,,,,,,,Tagln3,Foxj3,Otulinl,Trappc13,St3gal5,Naa38,,,,,,,
Mapk3,Rab11b,Cpd,,,,,,,,,,,Ptcra,Unk,Mrm1,Synj2bp,Rrbp1,,,,,,,,
Pcsk7,Vav2,Dnm1l,,,,,,,,,,,Tmem71,Hacd1,Zfp963,Derl1,Gabarap,,,,,,,,
Gtf2e1,Dad1,Eloa,,,,,,,,,,,Pi15,ENSMUSG00000071793,Coro2b,Acot13,Dlst,,,,,,,,
Kat6b,Myl12a,Ppp1r2,,,,,,,,,,,Gm3716,Gtf2h4,Frat1,Ggcx,Aco1,,,,,,,,
Repin1,Eif6,Skic8,,,,,,,,,,,Gm8579,Spns1,Enoph1,Ankfy1,Pafah1b1,,,,,,,,
Snx27,Zranb2,4833439L19Rik,,,,,,,,,,,Ebf3,Nasp,Hck,Mrpl18,Cyb5r3,,,,,,,,
Mmachc,Cdh5,Vapb,,,,,,,,,,,Il11,Plekha2,Tmem241,Myo10,Qdpr,,,,,,,,
Appl2,Parp12,H13,,,,,,,,,,,Tll1,Urb1,Me2,Ttyh2,Prdx3,,,,,,,,
Gusb,Ppt1,Cbr1,,,,,,,,,,,Asmt,Trim8,Ms4a6d,Rab11b,Pcyt2,,,,,,,,
Tyrobp,Jak2,Pafah2,,,,,,,,,,,Awat2,Med30,Fam78a,Cop1,Pink1,,,,,,,,
Rnf2,Tfrc,Nbas,,,,,,,,,,,F630042J09Rik,Tmem39a,Dusp8,Cdh5,Rdh16,,,,,,,,
Zfp955b,Thoc7,Hnrnpl,,,,,,,,,,,Serpinb3c,Klf11,Chrnb2,Slc6a12,Acot12,,,,,,,,
Mcm3ap,Stk25,Megf9,,,,,,,,,,,Tmeff1,Recql,Lrriq3,Pum1,Matr3,,,,,,,,
Slc17a5,Nup153,Chd2,,,,,,,,,,,BC025920,Dxo,Lrrc8b,Slc20a2,Tcp1,,,,,,,,
Pole3,Ppp3r1,Mfsd4b1,,,,,,,,,,,Arsi,Prmt1,Jag2,Arid5b,Acss2,,,,,,,,
Atm,Msmo1,Fam107b,,,,,,,,,,,Caps2,Wipf3,Ccdc134,Dgcr2,Fam120a,,,,,,,,
Brix1,Srsf2,Srsf3,,,,,,,,,,,Cyp4a12a,Ggct,Ppm1h,Zfr,Zbtb20,,,,,,,,
Maoa,Cebpz,Asph,,,,,,,,,,,Zfp94,Rnd2,5033406O09Rik,Ppt1,Agmat,,,,,,,,
Usf1,Arhgef3,Lrpap1,,,,,,,,,,,Tnfsf18,Fhip2b,Dph2,Sh3bp5,Gpld1,,,,,,,,
Cfap97,Kansl1,Ube2i,,,,,,,,,,,Lhfpl3,Stx18,Svep1,Cops2,Maob,,,,,,,,
Ints8,Eif2d,Hsph1,,,,,,,,,,,Ccl5,Ring1,Zfp251,Fdft1,Chchd2,,,,,,,,
Zfp787,Slc30a1,Prpf40a,,,,,,,,,,,Zfp677,Ift140,Tmsb15l,Eif2s2,Cct4,,,,,,,,
Zbtb21,Tor1b,Vps28,,,,,,,,,,,Snord83b,Nat8f7,Agbl5,Atp6v1g1,Arf1,,,,,,,,
Dusp12,Lratd2,Ywhab,,,,,,,,,,,Padi2,D6Wsu163e,Ncapd2,Edem3,Ces1e,,,,,,,,
Mettl16,Pex3,Galnt2,,,,,,,,,,,4921531C22Rik,Ubxn8,Il33,Chac2,Sec24a,,,,,,,,
R3hdm4,Heatr1,Mogs,,,,,,,,,,,D16Ertd519e,9930111J21Rik1,Phc1,Cebpa,Slc4a4,,,,,,,,
Aga,Rufy3,Mrpl50,,,,,,,,,,,Kcnh3,Crb3,Snora64,Thrap3,Dhrs3,,,,,,,,
B3galt1,Foxo3,Mrps7,,,,,,,,,,,Nkx6-2,Qsox2,Insyn1,Sap18,Shmt1,,,,,,,,
Scrn2,Smap2,Psmd12,,,,,,,,,,,Syce3,Mid2,Rasgrp1,Copz1,Dennd5b,,,,,,,,
Gorasp1,Add1,Pxdc1,,,,,,,,,,,Prdm8,Kat2a,Gnpda2,Baz1b,Cdh2,,,,,,,,
Rchy1,Elof1,Gabpa,,,,,,,,,,,Cacnb3,Ndufaf8,Ampd3,Nrdc,Rmnd5a,,,,,,,,
Med13l,Dus1l,Ddx24,,,,,,,,,,,Clec2h,Kcnk10,Prim1,Dhx15,Lpgat1,,,,,,,,
Pin4,Maea,Gm4952,,,,,,,,,,,Ap1s3,Nfkbiz,Nucb2,Dap,Lmbrd2,,,,,,,,
Agap3,Abcf2,Sgpp1,,,,,,,,,,,Gjc1,Gimap8,Adamts6,Ifih1,Hnrnpk,,,,,,,,
Atp8a1,Appbp2,Lrtm1,,,,,,,,,,,Gm20743,Zc3hc1,Actr5,Slc39a1,Tnpo1,,,,,,,,
Cpsf2,Gsr,Slc66a2,,,,,,,,,,,Cdh8,Jund,Pdgfc,Arid1a,Idh3b,,,,,,,,
Rex1bd,Dnajc11,Pnkd,,,,,,,,,,,Ccdc121rt3,Aptx,Ddx52,Smc1a,Ndufv1,,,,,,,,
Aggf1,Tbk1,Gnb1,,,,,,,,,,,Prune2,Cmklr1,Lhx6,Nr1d1,Sqor,,,,,,,,
Id3,Dele1,Golga3,,,,,,,,,,,Med12l,Nat10,Rabl2,Ppip5k2,Cyp2c54,,,,,,,,
Wfdc17,Mapk6,Dnajc19,,,,,,,,,,,Fam181a,Siah1a,Lrrc51,Pds5a,Kif1c,,,,,,,,
2610008E11Rik,Eif2ak1,Scly,,,,,,,,,,,Wtip,Rint1,E130307A14Rik,Slc17a4,Serpina1d,,,,,,,,
Rspo3,Plxnd1,Tacc1,,,,,,,,,,,Marchf4,Tcof1,Pira11|Pira6|Pira7|Pira12,Wdr1,Kyat3,,,,,,,,
Ppif,Atg9a,Znrf2,,,,,,,,,,,Fgf18,Zfp157,Armc9,Foxo3,Rps15a,,,,,,,,
Ntrk2,Pabpc4,Acad9,,,,,,,,,,,Zfp1005,Casp9,Plscr4,Rhou,Uqcrc1,,,,,,,,
Cox14,Kif13a,Mbtps1,,,,,,,,,,,Ccm2l,1700012D01Rik|Nemp1,Rbm43,Elof1,Rpl36a,,,,,,,,
Phf5a,Edem2,Nectin3,,,,,,,,,,,9330175M20Rik,Gpatch4,Mlph,Gars1,Dhdh,,,,,,,,
Tjp3,Zfp281,Atp6v1a,,,,,,,,,,,Rxfp3,Nudt16l1,Ift70a1,Gosr2,Rnf11,,,,,,,,
Sgk3,Slain2,Lgals3bp,,,,,,,,,,,Vmn1r53,Snx24,Impdh1,Ahctf1,Degs1,,,,,,,,
Srprb,Vps25,Kars1,,,,,,,,,,,Spata31d1a,Bax,Cep41,Pxmp4,Ptma,,,,,,,,
Mrpl58,Aagab,Gaa,,,,,,,,,,,Efs,Pwwp2a,Capn6,Klf12,Amacr,,,,,,,,
Cry1,Kctd20,Smarca4,,,,,,,,,,,Lce1a1,Iba57,Relt,Slc39a9,Cyp2f2,,,,,,,,
Pgap2,Tymp,Mapk9,,,,,,,,,,,Vmn1r18,Edc3,Sema6b,Rcbtb2,Pgm1,,,,,,,,
Ankrd13a,Ltbp4,Prr14l,,,,,,,,,,,Ovol2,Rbak,Iqcb1,Mob1a,Gjb2,,,,,,,,
2310065F04Rik,Gstt2,Tob1,,,,,,,,,,,Myf5,Ypel3,Trps1,Zfp148,Fbxo3,,,,,,,,
Zfp384,Chtop,Trim44,,,,,,,,,,,Ppp1r36,Bmp6,Akr1b8,Slain2,Ube2d3,,,,,,,,
Wdr77,AU040320,Rbis,,,,,,,,,,,A530072M11Rik,Srd5a3,Plagl2,Actr1b,Acaca,,,,,,,,
Ppp2r5d,Mrpl1,Cyp51,,,,,,,,,,,Polm,Ifit1,Tdp1,Mavs,Tns1,,,,,,,,
Capn3,Cpsf6,Tex264,,,,,,,,,,,Nlrc3,Erc2,Tlr2,Ltbp4,Sec14l4,,,,,,,,
Maz,Ifi27l2a,Hibch,,,,,,,,,,,Zfp457,Grem2,Map3k8,Ralgapa2,Rpl21,,,,,,,,
Mipep,Sil1,Hyi,,,,,,,,,,,Zfp689,Fam83h,Tpcn2,Cped1,Ldlr,,,,,,,,
Pik3cb,Specc1l,Qrich1,,,,,,,,,,,Gm13749,Exosc1,Hid1,Ndufa11,Cd5l,,,,,,,,
Mapkapk5,Yae1d1,Kcnq1ot1,,,,,,,,,,,Clvs1,Msh2,1110019D14Rik,Npc2,Aqp9,,,,,,,,
Cnot10,Gbp10,Micos13,,,,,,,,,,,Sgo2a,Mfap3,Ugt2b37,Gstt2,BC024386,,,,,,,,
Sfxn5,Stim1,Sub1,,,,,,,,,,,Camkmt,Slc22a15,Otud1,Glyr1,Ubr3,,,,,,,,
Psmd9,Atxn1,Akr7a5,,,,,,,,,,,Tnfrsf11a,Mras,Rnf144a,Chtop,Sdf4,,,,,,,,
Agps,Btaf1,Fhip2a,,,,,,,,,,,Nefl,Nprl3,Snora15,Smu1,Smg1,,,,,,,,
Tfe3,Pi4kb,Usf2,,,,,,,,,,,Or1ab2,Rsph3a,Mbtps2,Mlxipl,F8,,,,,,,,
Samd4,Atp6v0c,Acad8,,,,,,,,,,,H2-T3,Zdhhc8,Zfp965,Ddc,Eif4h,,,,,,,,
Spata2l,Mrps16,ENSMUSG00000118671,,,,,,,,,,,Rtn4r,Rnf186,Ttll1,Hspa13,Atp5mf,,,,,,,,
Hddc3,Sparcl1,Pcyt1a,,,,,,,,,,,Rasgrf2,Smarcal1,Pop4,Ap1b1,Marchf8,,,,,,,,
Gpatch8,Rbm7,Mal2,,,,,,,,,,,Hspbap1,Hpf1,Cmtr2,Tnks1bp1,Slco1a4,,,,,,,,
Cnot7,Plbd2,Hycc2,,,,,,,,,,,Osbpl3,Nckap1l,Dennd3,Selenok,Ndufa12,,,,,,,,
Trim35,Aff1,Dnajc13,,,,,,,,,,,Pus7l,Srgap3,Mid1,Gapvd1,Masp2,,,,,,,,
Nop2,Prpf38b,Hnrnph2,,,,,,,,,,,E2f2,Antxr1,Snhg5,Srp54a,Dag1,,,,,,,,
Gon4l,Magi1|4930511A08Rik,Csnk1d,,,,,,,,,,,Skap1,Sort1,St6galnac3,Otud4,Nadk,,,,,,,,
Ipo11|Ipo11-lrrc70,Cobll1,Rnf130,,,,,,,,,,,Rnf208,Zfp867,Pck2,Arpp19,Lbp,,,,,,,,
Ncln,Rnf152,Ufm1,,,,,,,,,,,Kcnf1,Ppil3,Ppp1r18,Sparcl1,C8a,,,,,,,,
Eif4ebp1,Mindy2,Nsun2,,,,,,,,,,,Atp6v0a4,Srm,Stx1b,Syap1,Psmb7,,,,,,,,
Fbxw5,Mfsd14b,Acad10,,,,,,,,,,,Tlcd3b,Gm16548,Tmem25,Spcs2,Acsm5,,,,,,,,
Alg5,Kansl3,Gas6,,,,,,,,,,,Sspo,Ccdc32,Eipr1,Rbm7,Nbr1,,,,,,,,
Tbc1d5,Iqgap1,Efr3a,,,,,,,,,,,Majin,Uxs1,Nipa1,Glg1,Parva,,,,,,,,
Slc9a6,Trip4,Cd74,,,,,,,,,,,Cdt1,Ncdn,Eid2b,Sar1a,Serinc3,,,,,,,,
Slc5a3,Il6ra,Nnt,,,,,,,,,,,Srpx2,Paqr3,Bid,Fbxo21,Cds2,,,,,,,,
Creld2,Oit3,Aspdh,,,,,,,,,,,Vmn1r181,Map4k2,Zc2hc1c,Optn,Nudt7,,,,,,,,
Aimp1,Fgd4,Tgfbi,,,,,,,,,,,4933407L21Rik,Gatd1,Arl8a,Gphn,Clec2d,,,,,,,,
Kat7,Mrpl57,Atp6v1e1,,,,,,,,,,,Kcnq2,Zfp984,Rexo5,Cggbp1,Herc1,,,,,,,,
Nacc1,Syngr2,Cep85l,,,,,,,,,,,Dipk1c,Prpf3,Stxbp1,Oga,Itch,,,,,,,,
Fbxw7,Lrrc28,Slc33a1,,,,,,,,,,,Dppa3,Dtymk,Olfm1,Zdhhc5,Pde3b,,,,,,,,
Fgfr4,Uqcc2,Cwc15,,,,,,,,,,,Ptprr,Serpina3g,Six5,Il6ra,Aldh7a1,,,,,,,,
Gnaq,Dnajb12,Sdc3,,,,,,,,,,,AW495222,2310030G06Rik,Armc6,Sumo2,Lman2,,,,,,,,
Rbck1,Sgta,Rassf8,,,,,,,,,,,Asz1,Arl13b,Vrk2,Prkar1a,Alkbh5,,,,,,,,
Eri1,Acy1,Entpd8,,,,,,,,,,,Caly,Inpp5d,Nup43,Fdps,Neat1,,,,,,,,
Mbd3,Dglucy,Iqsec1,,,,,,,,,,,Or51f1,Ruvbl1,Zfp764l1,Cap1,Glyctk,,,,,,,,
Pgls,Commd1,Pja2,,,,,,,,,,,Tbc1d2,Abr,Sp110,Slc25a46,Decr1,,,,,,,,
Sdad1,Snf8,Ibtk,,,,,,,,,,,Vmn2r86,Trp53i11,Zfp551,Cfl1,Cct8,,,,,,,,
Tstd1,Rnf6,Clcc1,,,,,,,,,,,Or52r1,Nkapd1,Usp11,Kpna4,Ddb1,,,,,,,,
Ell,Atp6v0a1,Acp2,,,,,,,,,,,Gm20745,Slc25a21,H2bc12,Dnajb12,Serf2,,,,,,,,
Bcl9l,Gart,Ube2d2a,,,,,,,,,,,Zik1,Hopx,Pigl,Ankrd28,Scarb1,,,,,,,,
P2rx4,Twsg1,Sh3pxd2a,,,,,,,,,,,Gm16291,Plekhg2,Arl2bp,Yipf5,Ctsz,,,,,,,,
Srsf4,Gfpt1,Vmp1,,,,,,,,,,,Trim40,Mzt2,Tmem216,Eif2s1,Chdh,,,,,,,,
Rab3gap2,Dnajb9,Mier1,,,,,,,,,,,Serpina3b,Igsf6,Klf2,Cept1,Ddt,,,,,,,,
Pdzrn3,Cfl2,Sumo1,,,,,,,,,,,Cyp46a1,Nfxl1,Arid5a,Mrap,Ndufa13,,,,,,,,
Snrpb,Gmfb,Ccpg1,,,,,,,,,,,Rassf10,Tex30,Il1rn,Cdk13,Pnpla8,,,,,,,,
ENSMUSG00000116875,Pigk,Ciao2a,,,,,,,,,,,Pilrb1,Cfap418,Ralgds,Agtr1a,,,,,,,,,
Cnnm3,Fgfr3,Eif3f,,,,,,,,,,,Slc1a1,Slc16a6,Cfap36,Abca8b,,,,,,,,,
Me3,Dusp1,Coro1b,,,,,,,,,,,Ctnna3,Mfsd5,Stn1,Akap11,,,,,,,,,
Mrps31,Rheb,Rbbp6,,,,,,,,,,,Snora75,Lsm4,Scara3,Rock2,,,,,,,,,
Dtnb,Mafg,Epb41l4b,,,,,,,,,,,Tmprss11b,Notch4,Rbm48,Swi5,,,,,,,,,
Ubap2,Gopc,Zscan26,,,,,,,,,,,Defb4,Tmem164,Galns,Zc3h14,,,,,,,,,
Smim8,Mrpl11,Pitrm1,,,,,,,,,,,Edn2,Dpm2,Zmynd15,Ppp4r2,,,,,,,,,
Cfap20,Smim14,Dcaf6,,,,,,,,,,,Mdk,Wdr4,2310057M21Rik,Mydgf,,,,,,,,,
Tbp,Csnk2b,R3hdm2,,,,,,,,,,,Abca17,Nup54,Zfp429,Trpm7,,,,,,,,,
Sart1,Aph1a,Atg2b,,,,,,,,,,,Clca1,Ifit2,Mest,Psmb3,,,,,,,,,
Ahsa2,Smarce1,Lhpp,,,,,,,,,,,Npnt,Bend7,Myo5a,Myo1e,,,,,,,,,
Khdrbs3,Pptc7,Mgst3,,,,,,,,,,,Ch25h,Zfp948,Snn,Sec13,,,,,,,,,
Chmp1b,Fahd1,Actr1a,,,,,,,,,,,Zdbf2,Ubxn2b,H2bc3,Ogt,,,,,,,,,
Ids,Ino80d,Rab5if,,,,,,,,,,,Stx19,Eef2kmt,Rpa2,Dnajb9,,,,,,,,,
Parp10,Sult1b1,Shpk,,,,,,,,,,,Gcnt3,Nop14,Zfp703,Lpcat3,,,,,,,,,
Chaserr,Tmbim1,Trabd,,,,,,,,,,,Pbx4,Mug-ps1,Tbcc,Gmfb,,,,,,,,,
Zfp932,Pex11a,Tbl1x,,,,,,,,,,,6430550D23Rik,Cnnm4,Trmt12,Mtfr1,,,,,,,,,
Tmem11,Ylpm1,Tapbp,,,,,,,,,,,A630076J17Rik,Rnf215,Lcmt2,Mtmr4,,,,,,,,,
