x,y,z,gene_id,Location,gmm,hdbscan,spectral,consensus
1.4406693,3.2068207,1.4031261,AT1G03780,FLT,4,4,6,12
-16.027899,5.5979733,-4.4975505,AT1G03790,FLT,8,13,7,1
-9.770194,14.359163,4.4003744,AT1G03800,FLT,0,13,1,1
10.160912,-13.22328,-5.477245,AT1G03820,FLT,12,5,20,12
-3.9022694,-6.3979163,0.27606288,AT1G03830,FLT,17,5,12,2
5.662173,4.1058197,-16.776443,AT1G03840,FLT,9,7,3,14
13.154277,-9.156537,-5.3605523,AT1G03850,FLT,17,7,20,2
-13.423011,-9.867192,-14.942119,AT1G03860,FLT,6,3,24,13
-14.768221,5.552942,-18.891607,AT1G03870,FLT,7,3,24,13
-11.977178,-3.583883,0.14767885,AT1G03880,FLT,8,13,19,1
-14.845902,-6.8413496,13.309665,AT1G03890,FLT,8,13,23,1
-15.098236,-1.724351,-17.536526,AT1G03900,FLT,7,3,24,13
17.384247,-0.22018506,6.863521,AT1G03905,FLT,9,11,17,4
-3.7517786,-25.197357,-4.780602,AT1G03910,FLT,13,4,10,5
17.775566,-1.0508239,-4.004365,AT1G03920,FLT,9,9,17,4
-2.3110483,-8.095362,-9.373903,AT1G03930,FLT,17,5,12,2
6.467306,-21.613432,2.7179117,AT1G03940,FLT,14,4,16,10
18.076931,11.376001,-6.5405054,AT1G03950,FLT,9,8,14,4
10.044482,8.906139,-13.217639,AT1G03960,FLT,9,7,14,14
-0.6150047,1.90689,-0.84366363,AT1G03970,FLT,17,5,6,2
-4.985156,10.369191,12.571736,AT1G03980,FLT,0,14,9,6
-15.518422,9.412475,-1.0430958,AT1G03990,FLT,8,13,1,1
-12.952844,-10.672219,3.3945172,AT1G03993,FLT,8,13,19,1
15.861579,1.6916414,-13.497555,AT1G04000,FLT,9,7,14,14
5.9855046,2.6618435,-17.375393,AT1G04010,FLT,9,7,3,14
0.47809818,3.9215574,-10.365801,AT1G04020,FLT,17,6,22,2
7.9130898,-7.8996496,-11.740223,AT1G04030,FLT,17,6,20,2
-15.361799,2.9565194,-18.673126,AT1G04040,FLT,7,3,24,13
-22.34223,-5.5036216,-2.651057,AT1G04047,FLT,8,13,8,1
19.2499,4.2028,-10.190079,AT1G04050,FLT,9,8,14,4
-15.477255,10.331881,0.023138134,AT1G04053,FLT,8,13,1,1
-20.504818,-11.454055,2.0812087,AT1G04067,FLT,8,13,8,1
15.762232,10.92564,9.8092985,AT1G04070,FLT,0,11,15,6
-11.657563,-9.474897,5.0449786,AT1G04077,FLT,8,13,19,1
-15.246379,9.909957,-17.876091,AT1G04080,FLT,11,3,13,0
-10.580192,12.5434475,11.74029,AT1G04090,FLT,0,13,1,1
9.582298,3.6494548,11.97524,AT1G04100,FLT,0,11,0,6
-19.5701,1.3778602,-6.0580974,AT1G04103,FLT,8,13,7,1
0.19290267,14.069908,8.237913,AT1G04110,FLT,0,14,2,6
-20.11314,-1.5337582,-6.007338,AT1G04117,FLT,8,13,7,1
-6.801846,14.977707,-8.489627,AT1G04120,FLT,11,3,13,0
-12.307492,-7.9214096,12.200192,AT1G04123,FLT,8,13,23,1
16.636732,4.338888,-13.685508,AT1G04130,FLT,9,8,14,4
-15.681218,4.3175735,-18.46093,AT1G04140,FLT,7,3,24,13
-5.1876745,5.2391243,17.166002,AT1G04150,FLT,0,14,9,6
6.0425754,-7.3114944,-13.129511,AT1G04160,FLT,17,6,20,2
-12.283563,-3.3727236,5.8032074,AT1G04163,FLT,8,13,23,1
-14.885864,13.490459,-15.022534,AT1G04170,FLT,11,3,13,0
19.547749,10.491256,-6.9676666,AT1G04180,FLT,9,8,14,4
4.8111687,-11.788615,-3.8538268,AT1G04183,FLT,12,5,5,12
7.702231,-8.640121,8.05156,AT1G04190,FLT,12,4,5,12
2.626773,-11.478709,-1.0385342,AT1G04200,FLT,12,5,5,12
-1.3983617,-25.551386,0.26547796,AT1G04210,FLT,2,4,16,10
7.498487,-19.62388,-2.520047,AT1G04220,FLT,14,5,16,10
4.830844,5.4674845,-15.242581,AT1G04230,FLT,9,7,22,14
-13.536088,-11.005377,10.506403,AT1G04233,FLT,8,13,23,1
12.962353,-8.8547325,-6.1286206,AT1G04240,FLT,17,7,20,2
-16.366024,11.0931835,7.595596,AT1G04247,FLT,0,13,1,1
-6.566618,-17.334114,-10.970305,AT1G04250,FLT,15,4,10,5
7.1660886,0.8458489,-17.782715,AT1G04260,FLT,9,7,3,14
-8.274268,13.093706,-8.411419,AT1G04270,FLT,11,3,13,0
4.307392,-21.651627,-4.120414,AT1G04280,FLT,14,5,16,10
7.409789,8.89673,-9.290941,AT1G04290,FLT,9,7,22,14
-17.493254,9.482308,0.5682215,AT1G04295,FLT,0,13,1,1
-13.176286,-10.740956,-14.551471,AT1G04300,FLT,6,3,24,13
14.400528,4.2286987,-15.284301,AT1G04310,FLT,9,7,14,14
-22.244328,-10.321391,4.1854453,AT1G04313,FLT,8,13,8,1
-1.3866874,2.4358344,18.178623,AT1G04330,FLT,0,14,9,6
1.134983,-8.210922,-11.990571,AT1G04340,FLT,17,6,12,2
-12.908679,-10.334638,10.799371,AT1G04343,FLT,8,13,23,1
-13.88728,-11.833496,4.45822,AT1G04347,FLT,8,13,19,1
10.651065,11.106712,-3.5682364,AT1G04350,FLT,4,8,11,3
-6.041361,4.4385543,16.403961,AT1G04353,FLT,0,14,9,6
-14.91784,-11.446877,1.2396302,AT1G04357,FLT,8,13,19,1
17.47767,-1.5762825,-1.1031091,AT1G04360,FLT,9,9,17,4
-18.951569,1.9156046,-6.202748,AT1G04370,FLT,8,13,7,1
-13.424725,14.234107,5.5880756,AT1G04380,FLT,0,13,1,1
15.5820465,5.2282677,-14.448388,AT1G04390,FLT,9,7,14,14
-12.546878,11.751801,-16.018097,AT1G04400,FLT,11,3,13,0
-1.4873512,15.249227,-15.63406,AT1G04410,FLT,11,2,4,9
-4.5636954,1.1669399,-24.111195,AT1G04420,FLT,16,0,18,7
-8.239838,7.2112203,14.253507,AT1G04425,FLT,0,14,9,6
-14.923458,-1.1095812,-18.107653,AT1G04430,FLT,7,3,24,13
-22.19144,-8.133788,-1.0331647,AT1G04433,FLT,8,13,8,1
0.48176417,-25.246218,-3.0112693,AT1G04440,FLT,2,4,16,10
-20.052607,4.2265477,-3.4954789,AT1G04445,FLT,8,13,7,1
-15.272989,-3.5115936,11.387521,AT1G04450,FLT,8,13,23,1
-11.673047,-4.3262444,2.4121118,AT1G04463,FLT,8,13,19,1
-16.84661,-11.843927,0.7015338,AT1G04467,FLT,8,13,19,1
-22.877262,-7.384096,5.6897006,AT1G04470,FLT,8,13,8,1
-15.341016,10.990397,-17.283487,AT1G04480,FLT,11,3,13,0
-16.769697,-11.004604,11.3241205,AT1G04487,FLT,8,13,23,1
-3.4605453,11.694008,12.724264,AT1G04490,FLT,0,14,2,6
-15.492337,-1.4131818,-6.3887324,AT1G04500,FLT,8,13,7,1
-19.124247,-10.46007,-1.1391256,AT1G04503,FLT,8,13,19,1
3.5063093,-20.139776,10.476733,AT1G04510,FLT,14,4,21,10
-12.681439,14.055368,9.009807,AT1G04513,FLT,0,13,1,1
3.2241786,-7.2927,7.2094655,AT1G04520,FLT,12,4,5,12
10.052554,-15.291023,-1.9517324,AT1G04530,FLT,12,5,20,12
-11.138235,-9.501542,7.0594516,AT1G04533,FLT,8,13,23,1
-22.093298,-4.3274956,6.0115685,AT1G04537,FLT,8,13,8,1
-20.810875,2.4307554,-3.9664588,AT1G04540,FLT,8,13,7,1
