gene	raw_pca_2d_kmeans_cluster	ftsae_pca_2d_kmeans_cluster	ftsae_latent_kmeans_cluster	raw_pca_10d_kmeans_cluster	ftsae_pca_10d_kmeans_cluster
ENSMUSG00000019820	8	4	13	11	1
ENSMUSG00000041681	0	3	3	0	0
ENSMUSG00000054162	0	3	3	0	0
ENSMUSG00000088464	0	3	3	0	0
ENSMUSG00000064065	0	3	3	0	0
ENSMUSG00000054951	0	3	3	0	0
ENSMUSG00000047866	5	4	13	11	2
ENSMUSG00000074519	0	0	0	0	14
ENSMUSG00000065468	0	3	3	0	0
ENSMUSG00000030170	0	12	3	0	0
ENSMUSG00000070524	0	3	3	0	0
ENSMUSG00000085122	0	3	3	0	0
ENSMUSG00000053004	0	3	3	0	0
ENSMUSG00000063689	0	3	3	0	0
ENSMUSG00000026566	0	3	3	0	0
ENSMUSG00000038797	0	3	3	0	0
ENSMUSG00000040877	0	3	3	0	0
ENSMUSG00000015776	0	0	0	0	14
ENSMUSG00000115705	0	3	3	0	0
ENSMUSG00000061961	0	3	3	0	0
ENSMUSG00000096421	0	3	3	0	0
ENSMUSG00000097697	0	3	3	0	0
ENSMUSG00000039275	0	0	0	0	14
ENSMUSG00000008730	8	11	13	11	1
ENSMUSG00000057863	8	4	10	11	7
ENSMUSG00000021266	0	12	0	0	14
ENSMUSG00000025156	12	7	8	0	5
ENSMUSG00000095172	0	3	3	0	0
ENSMUSG00000021592	0	0	0	0	14
ENSMUSG00000039953	0	3	3	0	0
ENSMUSG00000018796	7	8	12	12	11
ENSMUSG00000027439	12	6	6	0	12
ENSMUSG00000048502	0	3	3	0	0
ENSMUSG00000089942	0	3	3	0	0
ENSMUSG00000019528	0	3	3	0	0
ENSMUSG00000052922	0	3	3	0	0
ENSMUSG00000040820	0	0	0	0	14
ENSMUSG00000039345	0	3	3	0	0
ENSMUSG00000048218	0	12	0	0	14
ENSMUSG00000014773	0	3	3	0	0
ENSMUSG00000064329	0	3	3	0	0
ENSMUSG00000037001	0	12	3	0	0
ENSMUSG00000020152	8	11	13	11	12
ENSMUSG00000040322	0	3	3	0	0
ENSMUSG00000109020	0	3	3	0	0
ENSMUSG00000019301	0	3	3	0	0
ENSMUSG00000025551	0	3	3	0	0
ENSMUSG00000028707	0	3	3	0	0
ENSMUSG00000063672	0	3	3	0	0
ENSMUSG00000036644	12	2	5	0	9
ENSMUSG00000030142	0	3	3	0	0
ENSMUSG00000065485	0	3	3	0	0
ENSMUSG00000011154	0	3	3	0	0
ENSMUSG00000042121	0	12	0	0	14
ENSMUSG00000022116	0	3	3	0	0
ENSMUSG00000006527	12	9	11	0	3
ENSMUSG00000021187	0	12	0	0	14
ENSMUSG00000039100	5	11	13	11	12
ENSMUSG00000092528	0	3	3	0	0
ENSMUSG00000092752	0	3	3	0	0
ENSMUSG00000062760	0	3	3	0	0
ENSMUSG00000005813	12	7	8	0	3
ENSMUSG00000042684	0	3	3	0	0
ENSMUSG00000051550	0	3	3	0	0
ENSMUSG00000000125	0	3	3	0	0
ENSMUSG00000075209	0	3	3	0	0
ENSMUSG00000075141	0	3	3	0	0
ENSMUSG00000074652	0	3	3	0	0
ENSMUSG00000079415	0	3	3	0	0
ENSMUSG00000028164	0	0	0	0	14
ENSMUSG00000006476	12	2	5	0	9
ENSMUSG00000049052	0	3	3	0	0
ENSMUSG00000011305	12	7	8	0	5
ENSMUSG00000046486	0	3	3	0	0
ENSMUSG00000028857	0	12	0	0	14
ENSMUSG00000026526	8	4	2	11	2
ENSMUSG00000002731	0	0	0	0	14
ENSMUSG00000099207	0	3	3	0	0
ENSMUSG00000070458	0	12	3	0	0
ENSMUSG00000098659	0	3	3	0	0
ENSMUSG00000029409	0	3	3	0	0
ENSMUSG00000037149	12	2	4	0	1
ENSMUSG00000095864	0	12	3	0	0
ENSMUSG00000074776	0	3	3	0	0
ENSMUSG00000037857	12	6	4	0	12
ENSMUSG00000028678	0	3	3	0	0
ENSMUSG00000071138	0	3	3	0	0
ENSMUSG00000027196	0	3	3	0	0
ENSMUSG00000050390	12	2	5	0	5
ENSMUSG00000022674	12	6	6	0	7
ENSMUSG00000063838	0	3	3	0	0
ENSMUSG00000031505	12	7	8	0	5
ENSMUSG00000029458	8	5	2	11	2
ENSMUSG00000044156	0	3	3	0	0
ENSMUSG00000096405	0	3	3	0	0
ENSMUSG00000028729	0	12	0	0	14
ENSMUSG00000065577	0	3	3	0	0
ENSMUSG00000061132	0	3	3	0	0
ENSMUSG00000021557	0	12	0	0	14
ENSMUSG00000053838	12	0	0	0	14
ENSMUSG00000061039	0	3	3	0	0
ENSMUSG00000045625	0	3	3	0	0
ENSMUSG00000046447	12	7	5	0	5
ENSMUSG00000017861	0	3	3	0	0
ENSMUSG00000046854	0	3	3	0	0
ENSMUSG00000036751	5	5	10	11	4
ENSMUSG00000041219	0	3	3	0	0
