gene_cluster	n_genes	direction	rank	study.source name	n_profiles	mean_expression	z_score_across_sources
6	1496	low	14	MMS_3d_3	1	663.859619140625	-1.4844732284545898
6	1496	low	15	control_10w_2	1	701.5067138671875	-1.4669681787490845
6	1496	low	16	control_8w_1	1	705.7379760742188	-1.4650007486343384
6	1496	low	17	EU226	1	720.1718139648438	-1.4582892656326294
6	1496	low	18	RR-10_VIV-06	1	730.0086669921875	-1.4537153244018555
6	1496	low	19	EU236	1	743.7185668945312	-1.4473406076431274
6	1496	low	20	MMS_14d_1	1	745.16845703125	-1.4466664791107178
7	857	high	1	RR-4_NSG3-W	1	88336.2265625	9.018726348876953
7	857	high	2	GCRerun_20	1	56756.69140625	5.208497047424316
7	857	high	3	RR-4_NSF4-W	1	52600.4765625	4.707028388977051
7	857	high	4	RRRM-2_BL_LAR_01	2	47485.58203125	4.08989143371582
7	857	high	5	GCRerun_14	1	47204.40234375	4.055965423583984
7	857	high	6	GCRerun_18	1	44732.89453125	3.757765531539917
7	857	high	7	GCRerun_38	1	44146.37890625	3.6869993209838867
7	857	high	8	M55	1	40653.29296875	3.2655410766601562
7	857	high	9	GCRerun_19	1	40088.28125	3.1973695755004883
7	857	high	10	GCRerun_17	1	39406.9140625	3.115159273147583
7	857	high	11	GCRerun_39	1	39210.81640625	3.091499090194702
7	857	high	12	M44	1	36295.96484375	2.739807605743408
7	857	high	13	M60	2	36280.0	2.7378814220428467
7	857	high	14	RR1_BSL_M10	2	36237.3515625	2.7327356338500977
7	857	high	15	GCRerun_22	1	35543.8984375	2.649066925048828
7	857	high	16	GCRerun_29	1	34766.89453125	2.5553176403045654
7	857	high	17	GCRerun_32	1	32513.7734375	2.2834672927856445
7	857	high	18	GCRerun_28	1	32237.357421875	2.2501161098480225
7	857	high	19	M49	3	32086.017578125	2.231856346130371
7	857	high	20	GCRerun_16	1	30594.861328125	2.05194091796875
7	857	low	1	A1402_2JR - CAPE17	1	157.6639404296875	-1.620459794998169
7	857	low	2	EU190	1	334.7946472167969	-1.5990880727767944
7	857	low	3	RR-10_VIV-07	1	842.93701171875	-1.5377781391143799
7	857	low	4	NA	12	1136.857177734375	-1.5023152828216553
7	857	low	5	A1402_1FR - SHAM21	1	1195.8914794921875	-1.495192527770996
7	857	low	6	RR-10_VIV-21	1	1197.0723876953125	-1.495050072669983
7	857	low	7	62	1	1199.9381103515625	-1.494704246520996
7	857	low	8	63	1	1206.0	-1.493972897529602
7	857	low	9	60	1	1294.5963134765625	-1.4832831621170044
