sample	accession	condition	stratum	profile	original_feature	source_profile_index	official_sample_name	official_material_type	official_tissue	library_selection	library_layout	sex	strain	ercc_status
OSD-379_RR8_LVR_GC_LAR_YNG_GL14	OSD-379	ground	LAR_YNG	RR8_LVR_GC_LAR_YNG_GL14	OSD-379_RR8_LVR_GC_LAR_YNG_GL14	1722	RR8_LVR_GC_LAR_YNG_GL14	Left Lobe of the Liver	liver	ribo-depletion	PAIRED	Female	BALB/cAnNTac	not_annotated
OSD-379_RR8_LVR_GC_LAR_YNG_GL17	OSD-379	ground	LAR_YNG	RR8_LVR_GC_LAR_YNG_GL17	OSD-379_RR8_LVR_GC_LAR_YNG_GL17	1723	RR8_LVR_GC_LAR_YNG_GL17	Left Lobe of the Liver	liver	ribo-depletion	PAIRED	Female	BALB/cAnNTac	not_annotated
OSD-379_RR8_LVR_GC_LAR_YNG_GL2	OSD-379	ground	LAR_YNG	RR8_LVR_GC_LAR_YNG_GL2	OSD-379_RR8_LVR_GC_LAR_YNG_GL2	1725	RR8_LVR_GC_LAR_YNG_GL2	Left Lobe of the Liver	liver	ribo-depletion	PAIRED	Female	BALB/cAnNTac	not_annotated
OSD-379_RR8_LVR_GC_LAR_YNG_GL6	OSD-379	ground	LAR_YNG	RR8_LVR_GC_LAR_YNG_GL6	OSD-379_RR8_LVR_GC_LAR_YNG_GL6	1727	RR8_LVR_GC_LAR_YNG_GL6	Left Lobe of the Liver	liver	ribo-depletion	PAIRED	Female	BALB/cAnNTac	not_annotated
OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep10_F6	OSD-245	flight	ISS-T	Mmus_C57-6T_LVR_FLT_ISS-T_Rep10_F6	OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep10_F6	855	Mmus_C57-6T_LVR_FLT_ISS-T_Rep10_F6	Liver	liver	Ribo-depletion	PAIRED	Female	C57BL/6NTac	not_annotated
OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep2_F8	OSD-245	flight	ISS-T	Mmus_C57-6T_LVR_FLT_ISS-T_Rep2_F8	OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep2_F8	857	Mmus_C57-6T_LVR_FLT_ISS-T_Rep2_F8	Liver	liver	Ribo-depletion	PAIRED	Female	C57BL/6NTac	not_annotated
OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep4_F10	OSD-245	flight	ISS-T	Mmus_C57-6T_LVR_FLT_ISS-T_Rep4_F10	OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep4_F10	859	Mmus_C57-6T_LVR_FLT_ISS-T_Rep4_F10	Liver	liver	Ribo-depletion	PAIRED	Female	C57BL/6NTac	not_annotated
OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep5_F7	OSD-245	flight	ISS-T	Mmus_C57-6T_LVR_FLT_ISS-T_Rep5_F7	OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep5_F7	860	Mmus_C57-6T_LVR_FLT_ISS-T_Rep5_F7	Liver	liver	Ribo-depletion	PAIRED	Female	C57BL/6NTac	not_annotated
OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep6_F1	OSD-245	flight	ISS-T	Mmus_C57-6T_LVR_FLT_ISS-T_Rep6_F1	OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep6_F1	861	Mmus_C57-6T_LVR_FLT_ISS-T_Rep6_F1	Liver	liver	Ribo-depletion	PAIRED	Female	C57BL/6NTac	not_annotated
OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep7_F2	OSD-245	flight	ISS-T	Mmus_C57-6T_LVR_FLT_ISS-T_Rep7_F2	OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep7_F2	862	Mmus_C57-6T_LVR_FLT_ISS-T_Rep7_F2	Liver	liver	Ribo-depletion	PAIRED	Female	C57BL/6NTac	not_annotated
OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep8_F3	OSD-245	flight	ISS-T	Mmus_C57-6T_LVR_FLT_ISS-T_Rep8_F3	OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep8_F3	863	Mmus_C57-6T_LVR_FLT_ISS-T_Rep8_F3	Liver	liver	Ribo-depletion	PAIRED	Female	C57BL/6NTac	not_annotated
OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep9_F4	OSD-245	flight	ISS-T	Mmus_C57-6T_LVR_FLT_ISS-T_Rep9_F4	OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep9_F4	864	Mmus_C57-6T_LVR_FLT_ISS-T_Rep9_F4	Liver	liver	Ribo-depletion	PAIRED	Female	C57BL/6NTac	not_annotated
OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep10_F5	OSD-245	flight	LAR	Mmus_C57-6T_LVR_FLT_LAR_Rep10_F5	OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep10_F5	865	Mmus_C57-6T_LVR_FLT_LAR_Rep10_F5	Liver	liver	Ribo-depletion	PAIRED	Female	C57BL/6NTac	not_annotated
OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep1_F1	OSD-245	flight	LAR	Mmus_C57-6T_LVR_FLT_LAR_Rep1_F1	OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep1_F1	866	Mmus_C57-6T_LVR_FLT_LAR_Rep1_F1	Liver	liver	Ribo-depletion	PAIRED	Female	C57BL/6NTac	not_annotated
OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep2_F2	OSD-245	flight	LAR	Mmus_C57-6T_LVR_FLT_LAR_Rep2_F2	OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep2_F2	867	Mmus_C57-6T_LVR_FLT_LAR_Rep2_F2	Liver	liver	Ribo-depletion	PAIRED	Female	C57BL/6NTac	not_annotated
OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep3_F3	OSD-245	flight	LAR	Mmus_C57-6T_LVR_FLT_LAR_Rep3_F3	OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep3_F3	868	Mmus_C57-6T_LVR_FLT_LAR_Rep3_F3	Liver	liver	Ribo-depletion	PAIRED	Female	C57BL/6NTac	not_annotated
