gene_id	gmm	hdbscan	spectral	consensus	gene_symbol	gene_label	eligible_meta	significant_fdr05_abs_log2fc1	meta_log2_fold_change	consistent_direction
ENSMUSG00000000411	8	0	0	0	NA	ENSMUSG00000000411	False	False	NA	NA
ENSMUSG00000055679	8	0	0	0	NA	ENSMUSG00000055679	False	False	NA	NA
ENSMUSG00000042678	19	1	18	10	Myo15	Myo15	True	False	-0.296919755777367	mixed
ENSMUSG00000041889	0	1	6	1	Shisa4	Shisa4	True	False	0.440677905367733	mixed
ENSMUSG00000025747	15	0	1	4	Tyms	Tyms	True	False	-0.022203957616639	mixed
ENSMUSG00000026278	23	1	5	2	Bok	Bok	True	False	-0.158222058348265	mixed
ENSMUSG00000068762	3	0	10	11	Gstm6	Gstm6	True	False	-0.0753694951720497	mixed
ENSMUSG00000024896	9	0	8	5	Minpp1	Minpp1	True	False	-0.0363194375593292	mixed
ENSMUSG00000031955	21	0	15	3	Bcar1	Bcar1	True	False	-0.0609817939487854	mixed
ENSMUSG00000032097	20	0	17	9	Ddx6	Ddx6	True	False	0.003471900996994	mixed
ENSMUSG00000021749	0	2	6	1	Fam3d	Fam3d	False	False	0.490386554602722	all_up
ENSMUSG00000029754	5	1	4	2	Dlx6	Dlx6	True	False	0.0472348201075524	mixed
ENSMUSG00000055567	0	1	16	1	NA	ENSMUSG00000055567	False	False	NA	NA
ENSMUSG00000060586	21	0	9	3	H2-Eb1	H2-Eb1	True	False	-0.617307855129376	all_down
ENSMUSG00000015747	15	0	1	4	Vps45	Vps45	True	False	0.072064905066432	mixed
ENSMUSG00000000782	22	1	5	2	Tcf7	Tcf7	True	False	0.0912881490246168	mixed
ENSMUSG00000058355	20	0	17	9	Abce1	Abce1	True	False	0.14293710438217	mixed
ENSMUSG00000056359	5	1	4	2	D830013O20Rik	D830013O20Rik	True	False	0.0302934274568467	mixed
ENSMUSG00000024273	18	0	9	6	2700062C07Rik	2700062C07Rik	True	False	0.0495484794987168	mixed
ENSMUSG00000059439	1	0	15	3	Bcas3	Bcas3	True	False	0.0775724299511518	mixed
ENSMUSG00000012429	15	0	12	8	Mplkip	Mplkip	True	False	0.0182961480178116	mixed
ENSMUSG00000095910	8	0	0	0	NA	ENSMUSG00000095910	False	False	NA	NA
ENSMUSG00000050343	0	1	18	1	Olfr1378	Olfr1378	True	False	0.102842519189893	mixed
ENSMUSG00000021484	13	0	10	12	Lman2	Lman2	True	False	0.0219955130488837	mixed
ENSMUSG00000075146	0	1	19	1	NA	ENSMUSG00000075146	False	False	NA	NA
ENSMUSG00000042385	0	1	16	1	Gzmk	Gzmk	False	False	-0.25766592672542	all_down
ENSMUSG00000087935	14	1	12	13	Snora81	Snora81	True	False	0.429291549401824	mixed
ENSMUSG00000049148	19	1	7	10	Plcxd3	Plcxd3	True	False	-0.0270505713290825	mixed
ENSMUSG00000024030	21	0	9	3	Abcg1	Abcg1	True	False	-0.178657769858102	all_down
ENSMUSG00000028962	1	0	15	3	Slc4a2	Slc4a2	True	False	0.036501660393573	mixed
ENSMUSG00000026289	9	0	8	5	Atg16l1	Atg16l1	True	False	-0.0078196166576772	mixed
ENSMUSG00000042404	23	0	9	6	Dennd4b	Dennd4b	True	False	-0.141423355475396	mixed
ENSMUSG00000076433	0	2	6	1	Cep295nl	Cep295nl	True	False	-0.123380650495787	mixed
ENSMUSG00000055033	0	1	18	1	Olfr420	Olfr420	True	False	0.359649657473037	all_up
ENSMUSG00000040265	5	1	4	2	Dnm3	Dnm3	True	False	0.0355244248624565	mixed
ENSMUSG00000033237	17	0	8	5	Arid2	Arid2	True	False	0.0721422488815875	mixed
ENSMUSG00000029089	15	0	12	8	5730480H06Rik	5730480H06Rik	True	False	0.0593824421326332	mixed
ENSMUSG00000021124	12	0	8	5	Vti1b	Vti1b	True	False	-0.0992590478541688	mixed
ENSMUSG00000031373	2	0	12	6	Car5b	Car5b	True	False	0.0042263803498289	mixed
ENSMUSG00000013653	8	0	0	0	NA	ENSMUSG00000013653	False	False	NA	NA
ENSMUSG00000100241	8	0	0	0	NA	ENSMUSG00000100241	False	False	NA	NA
ENSMUSG00000032965	5	1	4	2	Ift57	Ift57	True	False	0.0630227717065599	mixed
ENSMUSG00000042650	20	0	17	9	Alkbh5	Alkbh5	True	False	-0.0198336899677864	mixed
ENSMUSG00000033122	7	2	14	7	Hsd17b3	Hsd17b3	True	False	0.210830188775359	mixed
ENSMUSG00000037568	0	1	18	1	Vash2	Vash2	True	False	-0.0248700220085308	mixed
ENSMUSG00000038883	8	0	0	0	NA	ENSMUSG00000038883	False	False	NA	NA
ENSMUSG00000005994	8	0	0	0	NA	ENSMUSG00000005994	False	False	NA	NA
ENSMUSG00000074305	12	0	8	5	Peak1	Peak1	True	False	-0.0014740238797031	mixed
ENSMUSG00000026357	5	1	4	2	Rgs18	Rgs18	True	False	-0.0093622936093344	mixed
ENSMUSG00000074437	8	0	0	0	NA	ENSMUSG00000074437	False	False	NA	NA
ENSMUSG00000024254	3	0	10	11	Abcg8	Abcg8	True	False	-0.162416900862704	mixed
ENSMUSG00000020525	18	0	12	8	Ppm1d	Ppm1d	True	False	-0.0018463164629925	mixed
ENSMUSG00000045364	8	0	0	0	NA	ENSMUSG00000045364	False	False	NA	NA
ENSMUSG00000093003	8	0	0	0	NA	ENSMUSG00000093003	False	False	NA	NA
ENSMUSG00000075214	8	0	0	0	NA	ENSMUSG00000075214	False	False	NA	NA
ENSMUSG00000085298	19	1	7	10	F730035M05Rik	F730035M05Rik	True	False	0.300715462377644	mixed
ENSMUSG00000006642	0	1	6	1	Tcf23	Tcf23	True	False	0.127769350496972	mixed
ENSMUSG00000076064	0	1	16	1	Mir690	Mir690	False	False	0.147940603637044	all_up
ENSMUSG00000105265	5	1	4	2	Sox2ot	Sox2ot	True	False	0.028183496053782	mixed
ENSMUSG00000037239	10	1	4	7	Spred3	Spred3	True	False	-0.0315151113522515	mixed
ENSMUSG00000026109	19	1	7	10	Tmeff2	Tmeff2	True	False	-0.0249271302954531	mixed
ENSMUSG00000026019	24	0	1	4	Wdr12	Wdr12	True	False	0.0202501474180067	mixed
ENSMUSG00000020156	4	0	9	6	Pwwp3a	Pwwp3a	True	False	0.0633268828113476	mixed
ENSMUSG00000071722	5	1	4	2	Spin4	Spin4	True	False	-0.0211577327813156	mixed
ENSMUSG00000010342	19	1	14	10	Tex14	Tex14	True	False	-0.0849718961513471	mixed
ENSMUSG00000109528	19	1	7	10	Olfr1309	Olfr1309	True	False	0.109404338585481	mixed
ENSMUSG00000037503	12	0	10	11	Fam168b	Fam168b	True	False	0.0210201045548216	mixed
ENSMUSG00000079003	18	0	9	6	Samd1	Samd1	True	False	0.0301359094949534	mixed
ENSMUSG00000041449	2	0	5	6	Serpina3h	Serpina3h	True	False	-0.202706261808799	all_down
ENSMUSG00000004540	8	0	0	0	NA	ENSMUSG00000004540	False	False	NA	NA
ENSMUSG00000030711	13	0	2	12	Sult1a1	Sult1a1	True	False	0.0710576509186662	mixed
ENSMUSG00000018398	18	0	9	6	Septin8	Septin8	True	False	-0.0579812128883836	mixed
ENSMUSG00000047799	8	0	0	0	NA	ENSMUSG00000047799	False	False	NA	NA
ENSMUSG00000074039	5	1	4	2	4930520O04Rik	4930520O04Rik	True	False	-0.0378354524174763	mixed
ENSMUSG00000051596	8	0	0	0	NA	ENSMUSG00000051596	False	False	NA	NA
ENSMUSG00000078624	5	1	4	2	Olfr613	Olfr613	True	False	-0.124881900163837	mixed
ENSMUSG00000051050	8	0	0	0	NA	ENSMUSG00000051050	False	False	NA	NA
ENSMUSG00000027315	7	1	14	7	Spint1	Spint1	True	False	0.0197885662174645	mixed
ENSMUSG00000039756	17	0	8	5	Dnttip2	Dnttip2	True	False	0.0713438629439611	mixed
ENSMUSG00000028702	5	1	4	2	Rad54l	Rad54l	True	False	-0.0893661693297415	mixed
ENSMUSG00000042817	5	1	4	2	Flt3	Flt3	True	False	-0.139175955574227	mixed
ENSMUSG00000028963	8	0	0	0	NA	ENSMUSG00000028963	False	False	NA	NA
ENSMUSG00000027167	15	0	1	4	Elp4	Elp4	True	False	0.150433254158264	mixed
ENSMUSG00000092274	20	0	17	9	Neat1	Neat1	True	False	0.0958005375378624	mixed
ENSMUSG00000027188	23	0	12	6	Pamr1	Pamr1	True	False	-0.169360785413838	mixed
ENSMUSG00000047003	23	0	12	6	Zfp41	Zfp41	True	False	0.063177949435017	mixed
ENSMUSG00000052957	15	0	12	8	Gas1	Gas1	True	False	-0.0223097234760978	mixed
ENSMUSG00000057981	19	1	7	10	Vmn1r12	Vmn1r12	True	False	-0.0070459269399727	mixed
