tissue	term	heldout_project_direction_concordance	heldout_projects	heldout_top_decile_selection_fraction	heldout_selected_direction_concordance	heldout_selected_folds
kidney	R-MMU-74752_SIGNALING_BY_INSULIN_RECEPTOR	1.0	6	0.0	NA	NA
kidney	R-MMU-75153_APOPTOTIC_EXECUTION_PHASE	0.6666666666666666	6	0.0	NA	NA
kidney	R-MMU-76002_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION	0.8333333333333334	6	0.0	NA	NA
kidney	R-MMU-76005_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2	0.8333333333333334	6	1.0	0.8333333333333334	6.0
kidney	R-MMU-774815_NUCLEOSOME_ASSEMBLY	0.6666666666666666	6	0.0	NA	NA
kidney	R-MMU-8848021_SIGNALING_BY_PTK6	0.1666666666666666	6	0.0	NA	NA
kidney	R-MMU-8856688_GOLGI_TO_ER_RETROGRADE_TRANSPORT	0.8333333333333334	6	0.6666666666666666	0.75	4.0
kidney	R-MMU-8856825_CARGO_RECOGNITION_FOR_CLATHRIN_MEDIATED_ENDOCYTOSIS	0.3333333333333333	6	0.0	NA	NA
kidney	R-MMU-8856828_CLATHRIN_MEDIATED_ENDOCYTOSIS	0.8333333333333334	6	0.0	NA	NA
kidney	R-MMU-8868773_RRNA_PROCESSING_IN_THE_NUCLEUS_AND_CYTOSOL	0.8333333333333334	6	0.0	NA	NA
kidney	R-MMU-8878171_TRANSCRIPTIONAL_REGULATION_BY_RUNX1	1.0	6	0.0	NA	NA
kidney	R-MMU-8936459_RUNX1_REGULATES_GENES_INVOLVED_IN_MEGAKARYOCYTE_DIFFERENTIATION_AND_PLATELET_FUNCTION	0.6666666666666666	6	0.0	NA	NA
kidney	R-MMU-8939211_ESR_MEDIATED_SIGNALING	0.3333333333333333	6	0.0	NA	NA
kidney	R-MMU-8948216_COLLAGEN_CHAIN_TRIMERIZATION	0.6666666666666666	6	0.0	NA	NA
kidney	R-MMU-8951664_NEDDYLATION	0.3333333333333333	6	0.0	NA	NA
kidney	R-MMU-8953854_METABOLISM_OF_RNA	0.8333333333333334	6	0.0	NA	NA
kidney	R-MMU-8953897_CELLULAR_RESPONSES_TO_STIMULI	0.8333333333333334	6	0.5	1.0	3.0
kidney	R-MMU-8957275_POST_TRANSLATIONAL_PROTEIN_PHOSPHORYLATION	0.1666666666666666	6	0.0	NA	NA
