direction	term	clean_term	study_count	accessions	best_fdr_bh	mean_wald_stat_shift_mean	aggregate_glare_support_categories
up_in_flight	REACTOME_POST_CHAPERONIN_TUBULIN_FOLDING_PATHWAY	Post Chaperonin Tubulin Folding Pathway	1	OSD-379	1.944237782204979e-05	2.563473369663754	protein_processing_localization
up_in_flight	REACTOME_SMOOTH_MUSCLE_CONTRACTION	Smooth Muscle Contraction	1	OSD-379	2.0492097938820753e-05	1.5797993035831863	muscle_cytoskeleton
down_in_flight	REACTOME_SIGNALING_BY_ILS	Signaling By Ils	1	OSD-463	2.5625125357268812e-05	-0.9359153900834102	
up_in_flight	REACTOME_GLUCONEOGENESIS	Gluconeogenesis	1	OSD-463	3.377531396540175e-05	1.8404681624242487	
up_in_flight	REACTOME_METABOLISM_OF_RNA	Metabolism Of Rna	1	OSD-379	3.982409835198436e-05	0.4983662999300003	
down_in_flight	REACTOME_METABOLISM_OF_MRNA	Metabolism Of Mrna	1	OSD-245	3.985593931301739e-05	-0.510161587324537	
up_in_flight	REACTOME_SULFUR_AMINO_ACID_METABOLISM	Sulfur Amino Acid Metabolism	1	OSD-463	5.3113614845092114e-05	2.4435611165177047	lipid_steroid_xenobiotic_metabolism
up_in_flight	REACTOME_MITOTIC_G2_G2_M_PHASES	Mitotic G2 G2 M Phases	1	OSD-379	5.373752375429134e-05	0.9204232237849621	
up_in_flight	REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION	Mitochondrial Fatty Acid Beta Oxidation	1	OSD-463	7.266262699245056e-05	2.231807920880763	lipid_steroid_xenobiotic_metabolism
up_in_flight	REACTOME_CHOLESTEROL_BIOSYNTHESIS	Cholesterol Biosynthesis	1	OSD-379	7.951688112055994e-05	2.0334682926293173	lipid_steroid_xenobiotic_metabolism
up_in_flight	REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS	Host Interactions Of Hiv Factors	1	OSD-379	9.317927151354174e-05	0.6648508458578294	
up_in_flight	REACTOME_S_PHASE	S Phase	1	OSD-379	0.00011701254610671093	0.6739938052193548	
down_in_flight	REACTOME_INTRINSIC_PATHWAY	Intrinsic Pathway	1	OSD-245	0.00012203017090510118	-1.3572280421393788	
up_in_flight	REACTOME_INTERACTIONS_OF_VPR_WITH_HOST_CELLULAR_PROTEINS	Interactions Of Vpr With Host Cellular Proteins	1	OSD-379	0.00012601860385253293	1.2343752444956555	
up_in_flight	REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE	Citric Acid Cycle Tca Cycle	1	OSD-463	0.00012708660372928797	2.0664486126585424	
up_in_flight	REACTOME_UNFOLDED_PROTEIN_RESPONSE	Unfolded Protein Response	1	OSD-379	0.00013005525424548327	0.8456737779351153	
up_in_flight	REACTOME_REGULATION_OF_GLUCOKINASE_BY_GLUCOKINASE_REGULATORY_PROTEIN	Regulation Of Glucokinase By Glucokinase Regulatory Protein	1	OSD-379	0.00013042057503024422	1.2572636866309839	
up_in_flight	REACTOME_NEP_NS2_INTERACTS_WITH_THE_CELLULAR_EXPORT_MACHINERY	Nep Ns2 Interacts With The Cellular Export Machinery	1	OSD-379	0.000188658513880914	1.238053890357677	
up_in_flight	REACTOME_DIABETES_PATHWAYS	Diabetes Pathways	1	OSD-379	0.00022625067257447848	0.6195771163149987	
down_in_flight	REACTOME_ADAPTIVE_IMMUNE_SYSTEM	Adaptive Immune System	1	OSD-245	0.00022714039026817164	-0.2056197419110267	immune_complement_coagulation
up_in_flight	REACTOME_EXTENSION_OF_TELOMERES	Extension Of Telomeres	1	OSD-379	0.00024256160145705457	1.3576923345369785	
