x,y,z,gene_id,Location,gmm,hdbscan,spectral,consensus
7.471372,18.122467,-8.490853,AT1G04610,GC,6,11,16,0
4.401299,24.182947,-4.7989626,AT1G04620,GC,6,10,16,0
11.270095,-1.2352302,-8.767916,AT1G04630,GC,18,4,3,2
4.963612,24.040627,-4.8849425,AT1G04635,GC,6,10,16,0
2.6287394,6.774851,8.155466,AT1G04640,GC,6,7,7,0
-22.383417,2.573872,7.648259,AT1G04643,GC,0,17,17,3
-8.118421,-7.578681,-0.64030296,AT1G04647,GC,0,15,11,11
-16.603199,1.2214454,-9.585174,AT1G04650,GC,20,14,18,4
-10.81545,-10.5971365,14.971129,AT1G04660,GC,0,16,5,3
-16.129887,3.5954576,15.049553,AT1G04677,GC,0,16,17,3
7.6595488,-7.7854805,8.304095,AT1G04680,GC,13,3,19,12
