gene_cluster	n_genes	profile	id.accession	investigation.study.comment.project identifier	study.source name	condition_inferred	flight_status_inferred	tissue_inferred	tissue_inference_rule	tissue_inference_confidence	tissue_metadata_source	official_material_type	official_tissue_type	mean_expression
0	1781	Mmus_C57-6J_LVR_RR1_GC_noERCC_Rep5_M40	OSD-168	RR-1, RR-3	RR1_GC_M40	ground_control	ground_or_control	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		118.29478
0	1781	Mmus_C57-6J_LVR_RR1_GC_wERCC_Rep1_M36	OSD-168	RR-1, RR-3	RR1_GC_M36	ground_control	ground_or_control	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		112.64907
0	1781	Mmus_C57-6J_LVR_RR1_GC_wERCC_Rep2_M37	OSD-168	RR-1, RR-3	RR1_GC_M37	ground_control	ground_or_control	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		128.3644
0	1781	Mmus_C57-6J_LVR_RR1_GC_wERCC_Rep3_M38	OSD-168	RR-1, RR-3	RR1_GC_M38	ground_control	ground_or_control	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		127.30769
0	1781	Mmus_C57-6J_LVR_RR1_GC_wERCC_Rep4_M39	OSD-168	RR-1, RR-3	RR1_GC_M39	ground_control	ground_or_control	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		154.56204
0	1781	Mmus_C57-6J_LVR_RR1_GC_wERCC_Rep5_M40	OSD-168	RR-1, RR-3	RR1_GC_M40	ground_control	ground_or_control	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		116.915215
0	1781	Mmus_C57-6J_LVR_RR1_VIV_noERCC_Rep1_M16	OSD-168	RR-1, RR-3	RR1_VIV_M16	vivarium_control	ground_or_control	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		158.96574
0	1781	Mmus_C57-6J_LVR_RR1_VIV_noERCC_Rep2_M17	OSD-168	RR-1, RR-3	RR1_VIV_M17	vivarium_control	ground_or_control	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		149.14262
0	1781	Mmus_C57-6J_LVR_RR1_VIV_noERCC_Rep3_M18	OSD-168	RR-1, RR-3	RR1_VIV_M18	vivarium_control	ground_or_control	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		139.92645
0	1781	Mmus_C57-6J_LVR_RR1_VIV_noERCC_Rep4_M19	OSD-168	RR-1, RR-3	RR1_VIV_M19	vivarium_control	ground_or_control	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		121.39977
