gene_id	flt_cluster	gc_cluster	procrustes_latent_shift
ENSMUSG00000077998	0	0	0.43841443149948217
ENSMUSG00000021278	1	3	0.41351353907919547
ENSMUSG00000027971	2	1	0.9951830593620106
ENSMUSG00000024758	3	5	1.5302622322908155
ENSMUSG00000044921	8	1	0.9647337057429287
ENSMUSG00000054387	7	5	0.8692575120791761
ENSMUSG00000062822	11	4	1.3060863654260906
ENSMUSG00000028013	7	5	1.0776678629867815
ENSMUSG00000042846	2	1	0.7129009902786293
ENSMUSG00000025403	9	8	2.1738752104785743
ENSMUSG00000031831	1	3	0.31344139645901364
ENSMUSG00000087045	0	0	0.43841443149948217
ENSMUSG00000030739	5	11	2.006594400213485
ENSMUSG00000037235	3	9	1.8708581122445376
ENSMUSG00000021559	3	5	1.4969625471378307
ENSMUSG00000049252	0	0	0.43841443149948217
ENSMUSG00000035805	0	0	0.43841443149948217
ENSMUSG00000050870	0	0	0.43841443149948217
ENSMUSG00000022931	0	0	0.43841443149948217
ENSMUSG00000067360	0	0	0.43841443149948217
ENSMUSG00000035262	1	3	0.40208523307957156
ENSMUSG00000087223	2	1	0.6223458413498489
ENSMUSG00000046791	6	10	0.8580620940485587
ENSMUSG00000086745	0	0	0.43841443149948217
ENSMUSG00000055826	0	0	0.43841443149948217
ENSMUSG00000022451	3	5	0.835169728070287
ENSMUSG00000092734	1	3	0.386556557796004
ENSMUSG00000026700	0	0	0.43681266163017846
ENSMUSG00000041852	3	5	1.0432738014074814
ENSMUSG00000075086	1	3	0.6129190853328275
ENSMUSG00000024776	8	2	2.017199234683122
ENSMUSG00000056035	9	8	2.4477705779777796
ENSMUSG00000020000	13	2	2.5689121522937435
ENSMUSG00000037946	6	2	2.848179566338512
ENSMUSG00000001656	0	0	0.43841443149948217
ENSMUSG00000053146	2	1	1.0519064275948427
ENSMUSG00000073982	12	10	2.154540647206168
ENSMUSG00000024393	3	9	2.588680006157466
ENSMUSG00000025433	1	3	0.47952562910639324
ENSMUSG00000086552	1	3	0.6591732932922708
ENSMUSG00000070972	7	4	1.0434424558482238
ENSMUSG00000036139	1	3	0.7615454901075964
ENSMUSG00000073768	8	1	1.5968096218485293
ENSMUSG00000003573	6	2	3.1055260614556617
ENSMUSG00000115744	8	1	1.3764777633477934
ENSMUSG00000019920	7	4	0.6714034035342151
ENSMUSG00000094892	2	1	1.694514235181185
ENSMUSG00000027495	3	5	0.9467403584264343
ENSMUSG00000045989	0	0	0.43841443149948217
ENSMUSG00000087424	8	2	1.9193681173762487
ENSMUSG00000050328	0	0	0.43841443149948217
ENSMUSG00000022705	0	0	0.43841443149948217
ENSMUSG00000034543	11	4	0.8490749241072323
ENSMUSG00000094734	0	0	0.43841443149948217
ENSMUSG00000071753	2	1	1.2191846355103702
ENSMUSG00000020919	3	9	2.3668914037084257
ENSMUSG00000036214	4	7	2.0988849009303805
ENSMUSG00000079069	0	0	0.43841443149948217
ENSMUSG00000103116	0	0	0.43841443149948217
ENSMUSG00000097368	8	1	1.539693542212678
ENSMUSG00000039230	5	6	0.8345952531200769
ENSMUSG00000035713	6	1	2.9644235702861197
ENSMUSG00000059995	5	6	1.2438314938233404
ENSMUSG00000033831	9	8	2.1643690757108187
ENSMUSG00000029730	5	6	1.5834034685055496
ENSMUSG00000019841	7	5	1.02852874590791
ENSMUSG00000040543	1	3	0.7160941870800781
ENSMUSG00000091537	13	11	1.5470068476106174
ENSMUSG00000026420	0	0	0.43841443149948217
ENSMUSG00000027550	4	2	2.028287400307704
ENSMUSG00000073971	1	3	0.5347663836762081
ENSMUSG00000028607	9	8	1.5706386617493093
ENSMUSG00000039210	11	4	1.3557510360255247
ENSMUSG00000032231	5	6	1.4955497943427736
ENSMUSG00000078593	0	0	0.43841443149948217
ENSMUSG00000028165	7	5	0.7541821995970203
ENSMUSG00000075273	4	7	1.1415047725306515
ENSMUSG00000049618	0	0	0.43841443149948217
ENSMUSG00000002496	3	9	1.4302444910870473
ENSMUSG00000055692	2	1	1.4902149426386992
ENSMUSG00000031160	0	0	0.43841443149948217
ENSMUSG00000030983	3	5	1.076530752680883
ENSMUSG00000078640	0	0	0.43841443149948217
ENSMUSG00000046675	4	7	1.2084447646362149
ENSMUSG00000051811	1	3	0.7239241750035921
ENSMUSG00000028651	12	6	1.497846279050776
ENSMUSG00000024425	9	8	1.3157730542882515
ENSMUSG00000046613	1	3	0.6115256628489392
ENSMUSG00000070501	8	1	0.9589923530580341
ENSMUSG00000049612	8	1	1.0766319319991569
ENSMUSG00000091996	2	1	1.0487949568197983
ENSMUSG00000078038	0	0	0.43841443149948217
ENSMUSG00000042216	10	2	2.290294783321553
ENSMUSG00000069036	0	0	0.43841443149948217
ENSMUSG00000079407	1	3	1.3700059583778554
ENSMUSG00000021823	7	4	1.1480828453206853
ENSMUSG00000033808	11	4	1.18636619029666
ENSMUSG00000051098	4	7	1.7784285238314403
ENSMUSG00000061633	0	0	0.43841443149948217
ENSMUSG00000056870	8	1	1.3714037339118101
ENSMUSG00000030093	0	0	0.43841443149948217
ENSMUSG00000000194	11	4	0.6067941817167485
ENSMUSG00000043207	3	5	1.487530287022784
ENSMUSG00000005667	6	1	1.8251091537740112
ENSMUSG00000073830	13	11	2.5126896910845633
ENSMUSG00000039703	3	5	1.33401750188959
ENSMUSG00000031068	3	5	1.5524003853317145
ENSMUSG00000051154	3	5	1.2742706304967288
ENSMUSG00000025487	3	9	1.4723356030864636
ENSMUSG00000005354	9	8	1.4829946006932555
ENSMUSG00000025892	2	1	0.8365541480608204
ENSMUSG00000074071	11	4	0.6451760325154687
ENSMUSG00000057182	2	1	0.7982252118114872
ENSMUSG00000020390	3	5	1.2598903303453601
ENSMUSG00000031131	1	3	0.4495156024795965
ENSMUSG00000094612	0	0	0.43841443149948217
ENSMUSG00000031283	8	1	1.6482170603347637
ENSMUSG00000109219	0	0	0.43841443149948217
ENSMUSG00000038429	3	9	2.17446902815493
ENSMUSG00000034810	8	1	1.9723982457548142
ENSMUSG00000018733	4	7	1.3777025314742182
ENSMUSG00000022037	9	8	3.1173678610953277
ENSMUSG00000085260	0	0	0.43841443149948217
ENSMUSG00000029610	12	10	1.3459562750913918
ENSMUSG00000042185	4	6	1.0591230988001237
ENSMUSG00000067525	0	0	0.43841443149948217
ENSMUSG00000006021	12	6	1.6041407982888438
ENSMUSG00000046408	2	1	1.597214481783862
ENSMUSG00000020599	8	1	1.349483227044405
ENSMUSG00000030775	8	1	1.1194710196291455
ENSMUSG00000015149	5	9	1.1591458302996775
ENSMUSG00000046434	7	5	1.4006549366062304
ENSMUSG00000031377	2	1	0.6541996704052017
ENSMUSG00000031774	5	7	1.8409070625413986
ENSMUSG00000096840	0	0	0.43841443149948217
ENSMUSG00000050627	3	5	1.0777925529054109
ENSMUSG00000031878	11	4	1.2619822597679078
ENSMUSG00000030322	10	2	1.26117613202147
ENSMUSG00000029541	0	0	0.43841443149948217
ENSMUSG00000020696	11	4	1.049449267251873
ENSMUSG00000097162	4	7	2.162302374100911
ENSMUSG00000113189	2	1	0.8537361991988502
ENSMUSG00000045201	0	0	0.43841443149948217
ENSMUSG00000058513	1	3	0.5497962054468056
